"","GEOID","NAME","NAMELSAD","State_Name","Elev_mean_m","Elev_cell_count","County_center_Long","County_center_Lat"
"127","17185","Wabash","Wabash County","Illinois",129,3487,-96.7873997260689,41.9163237828574
"128","18069","Huntington","Huntington County","Indiana",247,6187,-96.7873997260689,41.9163237828574
"129","21209","Scott","Scott County","Kentucky",266,4384,-96.7873997260689,41.9163237828574
"130","19053","Decatur","Decatur County","Iowa",317,8472,-96.7873997260689,41.9163237828574
"131","18169","Wabash","Wabash County","Indiana",241,6698,-96.7873997260689,41.9163237828574
"132","18003","Allen","Allen County","Indiana",243,10563,-96.7873997260689,41.9163237828574
"133","18099","Marshall","Marshall County","Indiana",244,7161,-96.7873997260689,41.9163237828574
"134","31171","Thomas","Thomas County","Nebraska",905,11558,-96.7873997260689,41.9163237828574
"135","38085","Sioux","Sioux County","North Dakota",612,19615,-96.7873997260689,41.9163237828574
"136","48127","Dimmit","Dimmit County","Texas",185,18360,-96.7873997260689,41.9163237828574
"137","27045","Fillmore","Fillmore County","Minnesota",361,14276,-96.7873997260689,41.9163237828574
"138","45023","Chester","Chester County","South Carolina",151,8631,-96.7873997260689,41.9163237828574
"139","27073","Lac qui Parle","Lac qui Parle County","Minnesota",324,13214,-96.7873997260689,41.9163237828574
"140","49005","Cache","Cache County","Utah",1918,18891,-96.7873997260689,41.9163237828574
"141","55093","Pierce","Pierce County","Wisconsin",309,10013,-96.7873997260689,41.9163237828574
"142","13049","Charlton","Charlton County","Georgia",29,10999,-96.7873997260689,41.9163237828574
"143","13233","Polk","Polk County","Georgia",278,4543,-96.7873997260689,41.9163237828574
"144","17113","McLean","McLean County","Illinois",233,18829,-96.7873997260689,41.9163237828574
"145","23001","Androscoggin","Androscoggin County","Maine",102,8329,-96.7873997260689,41.9163237828574
"146","16055","Kootenai","Kootenai County","Idaho",894,23312,-96.7873997260689,41.9163237828574
"147","32003","Clark","Clark County","Nevada",1007,120415,-96.7873997260689,41.9163237828574
"148","20147","Phillips","Phillips County","Kansas",613,14001,-96.7873997260689,41.9163237828574
"149","31089","Holt","Holt County","Nebraska",619,39378,-96.7873997260689,41.9163237828574
"150","29101","Johnson","Johnson County","Missouri",251,12884,-96.7873997260689,41.9163237828574
"151","55063","La Crosse","La Crosse County","Wisconsin",270,8028,-96.7873997260689,41.9163237828574
"152","22021","Caldwell","Caldwell Parish","Louisiana",34,7700,-96.7873997260689,41.9163237828574
"153","21061","Edmonson","Edmonson County","Kentucky",191,4666,-96.7873997260689,41.9163237828574
"154","17005","Bond","Bond County","Illinois",162,5907,-96.7873997260689,41.9163237828574
"155","17009","Brown","Brown County","Illinois",189,4875,-96.7873997260689,41.9163237828574
"156","27085","McLeod","McLeod County","Minnesota",315,8540,-96.7873997260689,41.9163237828574
"157","55033","Dunn","Dunn County","Wisconsin",296,14632,-96.7873997260689,41.9163237828574
"158","08027","Custer","Custer County","Colorado",2751,11337,-96.7873997260689,41.9163237828574
"159","29123","Madison","Madison County","Missouri",243,7592,-96.7873997260689,41.9163237828574
"160","48353","Nolan","Nolan County","Texas",716,13047,-96.7873997260689,41.9163237828574
"161","42127","Wayne","Wayne County","Pennsylvania",446,12095,-96.7873997260689,41.9163237828574
"162","36091","Saratoga","Saratoga County","New York",220,13915,-96.7873997260689,41.9163237828574
"163","48041","Brazos","Brazos County","Texas",84,8297,-96.7873997260689,41.9163237828574
"164","40095","Marshall","Marshall County","Oklahoma",223,6227,-96.7873997260689,41.9163237828574
"165","24001","Allegany","Allegany County","Maryland",377,6700,-96.7873997260689,41.9163237828574
"166","54103","Wetzel","Wetzel County","West Virginia",351,5682,-96.7873997260689,41.9163237828574
"167","55053","Jackson","Jackson County","Wisconsin",297,16790,-96.7873997260689,41.9163237828574
"168","41007","Clatsop","Clatsop County","Oregon",192,18777,-96.7873997260689,41.9163237828574
