"","GEOID","month","solar_glob_rad_Wm2"
"63","01011","mar",200.161454108454
"64","01011","apr",245.460708987328
"65","01011","may",277.925814228673
"66","01011","jun",278.336727511498
"67","01011","jul",269.563052761939
"68","01011","aug",248.764284564603
"69","01011","sep",213.67767530872
"70","01011","oct",182.252114941997
"71","01011","nov",139.254540966403
"72","01011","dec",107.432245500626
"73","01013","jan",122.114697678284
"74","01013","feb",153.321936073543
"75","01013","mar",201.471069144003
"76","01013","apr",244.293662113214
"77","01013","may",276.495120834255
"78","01013","jun",277.625793648966
"79","01013","jul",266.22813079642
"80","01013","aug",248.01127442174
"81","01013","sep",214.79407438842
"82","01013","oct",185.048019025311
"83","01013","nov",140.413173651545
"84","01013","dec",108.834168200223
"85","01015","jan",112.091915247991
"86","01015","feb",139.317077401968
"87","01015","mar",185.526240891677
"88","01015","apr",236.306604356032
"89","01015","may",264.87288654034
"90","01015","jun",275.797398024339
"91","01015","jul",264.19520310622
"92","01015","aug",246.731350942758
"93","01015","sep",209.177163461538
"94","01015","oct",173.648602060171
"95","01015","nov",128.932271341177
"96","01015","dec",96.4821617713341
"97","01017","jan",118.455711486816
"98","01017","feb",148.376813232422
"99","01017","mar",192.770000244141
"100","01017","apr",240.998723632812
"101","01017","may",272.608127685547
"102","01017","jun",278.173954589844
"103","01017","jul",268.581534912109
"104","01017","aug",247.55415612793
"105","01017","sep",210.620535766602
"106","01017","oct",177.954889892578
"107","01017","nov",134.064510498047
"108","01017","dec",103.803413452148
"109","01019","jan",108.724403256276
"110","01019","feb",136.531405089331
"111","01019","mar",182.155493689365
"112","01019","apr",233.492887153
"113","01019","may",263.847518920898
"114","01019","jun",276.881613059122
"115","01019","jul",263.869125866499
"116","01019","aug",245.820819542056
"117","01019","sep",209.097472769315
"118","01019","oct",170.885555830158
"119","01019","nov",125.631509436936
"120","01019","dec",93.7437251982142
"121","01021","jan",117.23602215449
"122","01021","feb",146.452640639411
"123","01021","mar",192.653361638387
"124","01021","apr",239.19344329834
"125","01021","may",271.908090803358
"126","01021","jun",278.434647878011
"127","01021","jul",266.911356396145
"128","01021","aug",248.049019919501
"129","01021","sep",212.884303834703
"130","01021","oct",178.712365786235
"131","01021","nov",133.458076688978
"132","01021","dec",101.868903689914
"133","01023","jan",118.956142348473
"134","01023","feb",149.536076015896
"135","01023","mar",195.112755746552
"136","01023","apr",240.627090916489
"137","01023","may",272.822166828194
"138","01023","jun",279.746839272855
"139","01023","jul",266.299590756195
"140","01023","aug",249.637982686361
"141","01023","sep",218.448665195041
"142","01023","oct",183.540946266868
"143","01023","nov",137.654441833496
"144","01023","dec",107.816888944067
"145","01025","jan",121.07196620154
"146","01025","feb",152.143330044217
"147","01025","mar",198.535398695204
"148","01025","apr",243.621206979903
"149","01025","may",274.227182902987
"150","01025","jun",277.742600456117
"151","01025","jul",264.631400456504
"152","01025","aug",248.376491364979
"153","01025","sep",217.37986507113
"154","01025","oct",185.86406653268
"155","01025","nov",140.546092744858
"156","01025","dec",109.845143847995
"157","01027","jan",115.013622045517
"158","01027","feb",143.548576593399
"159","01027","mar",188.911815881729
"160","01027","apr",238.237998604774
"161","01027","may",268.290231704712
"162","01027","jun",276.161782741547
"163","01027","jul",263.962052345276
"164","01027","aug",246.332673192024
"165","01027","sep",209.270445942879
"166","01027","oct",176.295086503029
"167","01027","nov",131.725988388062
"168","01027","dec",99.619866669178
"169","01029","jan",113.043919680411
"170","01029","feb",140.388514870091
"171","01029","mar",185.662074574253
"172","01029","apr",236.557828535113
"173","01029","may",265.796101620323
"174","01029","jun",275.93347542746
