time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7],NO3_ppm[8],NO3_ppm[9]        etc...
2006.83,327,0.254353,0.000177,0.108942,0.24181,0.035967,0.027991,0.018368,0.711444,0.62077,,
2004.83,320,0.254601,0.001285,0.027826,0.060856,0.044881,0.057551,0.036308,0.037645,0.033532,,
2004.75,285,0.25543,0.000653,0.045243,0.10893,0.049049,0.031817,0.015323,0.038843,0.040313,,
2006.83,326,0.255533,0.000084,0.108694,0.241286,0.035731,0.027848,0.018318,0.711394,0.620746,,
2015.42,179,0.256299,-0.047306,0.067885,0.155094,0.188029,0.199237,0.118535,0.124599,0.07074,,
2006.83,325,0.256716,-0.000575,0.108469,0.240813,0.035519,0.027719,0.018273,0.711349,0.620723,,
2006.75,293,0.257569,0.000628,0.041136,0.123734,0.073026,0.058224,0.038294,0.710853,0.620474,,
2004.83,319,0.25768,0.001557,0.061342,0.194572,0.072019,0.024816,0.01062,0.037742,0.038452,,
2006.83,324,0.257907,-0.006218,0.108469,0.240813,0.035519,0.027719,0.018273,0.711349,0.620723,,
2017.58,238,0.258764,0.077487,0.117468,0.261075,0.214273,0.233624,0.179364,0.22636,0.154084,,
2006.83,323,0.259108,-0.01188,0.108469,0.240813,0.035519,0.027719,0.018273,0.711349,0.620723,,
2006.83,322,0.260315,-0.017564,0.108469,0.240813,0.035519,0.027719,0.018273,0.711349,0.620723,,
2004.83,318,0.260707,0.001907,0.082815,0.227537,0.052998,0.02427,0.010643,0.037957,0.038699,,
2004.58,226,0.261922,-0.016676,0.126334,0.373486,0.190648,0.556227,0.700887,1.71298,0.741803,,
2004.67,271,0.262196,0.00108,0.017494,0.015481,0.017658,0.02971,0.03624,0.413935,0.322858,,
2006.67,256,0.262829,0.003066,0.048295,0.080258,0.088825,0.151065,0.21551,0.704019,0.617052,,
2004.83,317,0.262976,0.00183,0.084715,0.231124,0.051058,0.024221,0.010635,0.038059,0.038828,,
2006.75,292,0.264242,0.00058,0.042076,0.127529,0.07585,0.060972,0.040179,0.710519,0.620305,,
2015.42,178,0.26506,-0.040662,0.070887,0.161951,0.196343,0.199237,0.118535,0.124604,0.070737,,
2004.83,316,0.266137,0.002017,0.091139,0.231727,0.049851,0.024249,0.01066,0.038286,0.0391,,
2004.83,315,0.267495,0.001921,0.090919,0.23128,0.049627,0.024111,0.010613,0.038252,0.03909,,
2004.83,314,0.268996,0.001825,0.090744,0.230948,0.049426,0.023984,0.01057,0.038237,0.0391,,
2008.58,244,0.269281,0.130985,0.191506,0.263016,0.201006,0.251265,0.204682,0.233942,0.129354,,
2006.83,321,0.269336,0.000085,0.108969,0.241923,0.035682,0.027847,0.018357,0.711349,0.620723,,
2004.75,284,0.270353,0.000777,0.047361,0.114599,0.051603,0.03355,0.0163,0.038494,0.040139,,
2004.83,313,0.270564,0.001729,0.090587,0.230663,0.049235,0.023861,0.01053,0.03823,0.039118,,
