time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7],NO3_ppm[8],NO3_ppm[9]        etc...
2098.67,268,0.228137,0.089959,0.076532,0.037404,0.037736,0.063673,0.071053,0.098558,0.060695,,
2098.67,269,0.228137,0.09102,0.079362,0.043368,0.040419,0.065299,0.071622,0.099123,0.060979,,
2070.67,268,0.228137,0.090565,0.077372,0.038052,0.038284,0.064365,0.071644,0.099258,0.061092,,
2098.67,270,0.228137,0.09196,0.081867,0.048646,0.042795,0.066739,0.072125,0.099623,0.06123,,
2070.67,269,0.228137,0.091672,0.080323,0.044271,0.041083,0.066061,0.072237,0.099848,0.061387,,
2098.67,271,0.228137,0.092564,0.083477,0.052041,0.044322,0.067665,0.072449,0.099943,0.061392,,
2098.67,272,0.228137,0.092869,0.084293,0.053759,0.045095,0.068133,0.072613,0.100103,0.061476,,
2098.67,273,0.228137,0.093024,0.084705,0.054628,0.045486,0.06837,0.072695,0.100182,0.061519,,
2070.67,270,0.228137,0.092651,0.082936,0.049776,0.04356,0.067562,0.072762,0.10037,0.061649,,
2042.67,268,0.228137,0.091368,0.078517,0.03892,0.039051,0.065378,0.072526,0.100287,0.061655,,
2070.67,271,0.228137,0.093281,0.084615,0.053316,0.045153,0.068527,0.0731,0.100704,0.061818,,
2070.67,272,0.228137,0.0936,0.085466,0.055108,0.045959,0.069016,0.07327,0.100871,0.061905,,
2070.67,273,0.228137,0.093761,0.085896,0.056014,0.046367,0.069263,0.073357,0.100953,0.06195,,
2042.67,269,0.228137,0.092531,0.081618,0.045454,0.041991,0.067159,0.073149,0.100907,0.061965,,
2042.67,270,0.228137,0.09356,0.084361,0.051236,0.044593,0.068736,0.073701,0.101455,0.06224,,
2042.67,271,0.228137,0.094221,0.086125,0.054954,0.046266,0.06975,0.074056,0.101806,0.062418,,
2042.67,272,0.228137,0.094556,0.087018,0.056836,0.047113,0.070263,0.074235,0.101981,0.062509,,
2042.67,273,0.228137,0.094725,0.08747,0.057788,0.047541,0.070523,0.074325,0.102068,0.062556,,
2083.42,178,0.228137,0.147528,0.124259,0.144794,0.131297,0.138412,0.100024,0.111246,0.062966,,
2083.42,179,0.228137,0.147653,0.124593,0.145497,0.131613,0.138604,0.10009,0.111309,0.063002,,
2083.42,180,0.228137,0.147839,0.125088,0.14654,0.132083,0.138888,0.100189,0.111405,0.063039,,
2083.42,181,0.228137,0.147948,0.125378,0.14715,0.132358,0.139055,0.100247,0.111459,0.063071,,
2055.42,180,0.228137,0.14876,0.126807,0.149746,0.134019,0.140449,0.101036,0.112285,0.063509,,
2055.42,181,0.228137,0.148873,0.12711,0.150384,0.134306,0.140624,0.101097,0.112341,0.063542,,
2080.58,241,0.228137,0.080307,0.06699,0.031695,0.041578,0.071345,0.075945,0.103425,0.064939,,
2052.58,241,0.228137,0.080921,0.067666,0.032027,0.041965,0.071973,0.076585,0.10427,0.065458,,
2024.58,241,0.228137,0.085231,0.071663,0.03413,0.044601,0.076267,0.081045,0.110342,0.0693,,
2092.58,232,0.228137,0.120537,0.141214,0.166079,0.138751,0.182027,0.151105,0.170618,0.093144,,
2092.58,233,0.228137,0.121302,0.143255,0.170381,0.140687,0.1832,0.151514,0.171022,0.093351,,
2092.58,234,0.228137,0.121516,0.143826,0.171584,0.141228,0.183528,0.151628,0.17113,0.093412,,
2092.58,235,0.228137,0.121662,0.144215,0.172403,0.141597,0.183751,0.151706,0.171201,0.093454,,
2092.58,236,0.228137,0.121788,0.144551,0.173111,0.141915,0.183944,0.151772,0.171261,0.093492,,
2092.58,237,0.228137,0.121898,0.144844,0.17373,0.142194,0.184113,0.151831,0.171313,0.093525,,
2092.58,238,0.228137,0.121996,0.145104,0.174278,0.14244,0.184262,0.151882,0.171359,0.093554,,
2092.58,239,0.228137,0.122084,0.14534,0.174774,0.142664,0.184398,0.151929,0.171399,0.093582,,
2092.58,241,0.228137,0.122238,0.14575,0.175639,0.143053,0.184634,0.152011,0.17147,0.093587,,
2092.58,240,0.228137,0.122166,0.145559,0.175236,0.142872,0.184524,0.151973,0.171436,0.093607,,
2092.58,242,0.228137,0.117841,0.146092,0.17921,0.143767,0.185066,0.152162,0.171617,0.093662,,
2092.58,243,0.228137,0.117929,0.146328,0.179707,0.143991,0.185202,0.152209,0.171657,0.093689,,
2092.58,244,0.228137,0.118008,0.146538,0.180149,0.144189,0.185322,0.152251,0.171691,0.093714,,
2064.58,232,0.228137,0.121211,0.142522,0.168347,0.140175,0.183541,0.152211,0.171865,0.093819,,
2064.58,233,0.228137,0.12201,0.144653,0.172838,0.142196,0.184766,0.152639,0.172287,0.094035,,
2064.58,234,0.228137,0.122234,0.14525,0.174094,0.142762,0.185108,0.152757,0.1724,0.094098,,
2064.58,235,0.228137,0.122386,0.145655,0.174949,0.143146,0.185341,0.152838,0.172475,0.094142,,
2064.58,236,0.228137,0.122517,0.146006,0.175688,0.143479,0.185543,0.152908,0.172538,0.094181,,
2064.58,237,0.228137,0.122632,0.146313,0.176335,0.14377,0.185719,0.152969,0.172593,0.094216,,
2064.58,238,0.228137,0.122734,0.146584,0.176907,0.144027,0.185875,0.153023,0.17264,0.094247,,
2064.58,239,0.228137,0.122826,0.14683,0.177425,0.144261,0.186017,0.153072,0.172682,0.094275,,
2064.58,241,0.228137,0.122987,0.147259,0.178329,0.144667,0.186263,0.153157,0.172757,0.094282,,
2064.58,240,0.228137,0.122912,0.147059,0.177908,0.144478,0.186148,0.153117,0.172721,0.094302,,
2064.58,242,0.228137,0.118573,0.147617,0.18199,0.145412,0.186715,0.153315,0.172911,0.09436,,
2064.58,243,0.228137,0.118666,0.147863,0.182509,0.145646,0.186856,0.153364,0.172953,0.094388,,
2064.58,244,0.228137,0.118748,0.148082,0.182971,0.145854,0.186982,0.153408,0.172989,0.094414,,
2036.58,232,0.228137,0.122137,0.143971,0.170499,0.14156,0.184943,0.153512,0.173569,0.094813,,
2036.58,233,0.228137,0.122977,0.146211,0.175219,0.143684,0.18623,0.153962,0.174013,0.095039,,
2036.58,234,0.228137,0.123212,0.146838,0.17654,0.144279,0.186591,0.154087,0.174132,0.095105,,
2036.58,235,0.228137,0.123371,0.147264,0.177439,0.144683,0.186836,0.154172,0.17421,0.095152,,
2036.58,236,0.228137,0.12351,0.147633,0.178216,0.145033,0.187047,0.154245,0.174277,0.095192,,
2036.58,237,0.228137,0.123631,0.147956,0.178895,0.145338,0.187233,0.154309,0.174335,0.095228,,
2036.58,238,0.228137,0.123738,0.148241,0.179497,0.145609,0.187397,0.154366,0.174385,0.095261,,
2073.58,238,0.228137,0.090265,0.091163,0.158844,0.135863,0.15805,0.12642,0.152498,0.095267,,
2036.58,239,0.228137,0.123835,0.1485,0.180042,0.145854,0.187545,0.154417,0.17443,0.09529,,
2036.58,241,0.228137,0.124003,0.148949,0.18099,0.146281,0.187804,0.154507,0.174509,0.095299,,
2036.58,240,0.228137,0.123925,0.14874,0.180549,0.146083,0.187684,0.154465,0.174471,0.095318,,
2036.58,242,0.228137,0.119585,0.149329,0.184737,0.147059,0.188275,0.154672,0.174669,0.09538,,
2036.58,243,0.228137,0.119681,0.149586,0.185279,0.147302,0.188423,0.154723,0.174713,0.09541,,
2036.58,244,0.228137,0.119767,0.149815,0.185761,0.147519,0.188555,0.154769,0.174751,0.095437,,
2073.58,239,0.228137,0.091306,0.093938,0.164692,0.138494,0.159645,0.126977,0.15305,0.095546,,
2073.58,235,0.228137,0.109531,0.08432,0.145927,0.131318,0.155811,0.125667,0.152468,0.095658,,
2073.58,240,0.228137,0.091894,0.095507,0.167998,0.139982,0.160546,0.127292,0.15336,0.095706,,
2073.58,241,0.228137,0.092082,0.096007,0.169053,0.140457,0.160834,0.127392,0.153454,0.095759,,
2073.58,242,0.228137,0.092225,0.096391,0.169861,0.14082,0.161054,0.127468,0.153525,0.095801,,
2073.58,243,0.228137,0.09235,0.096724,0.170563,0.141136,0.161246,0.127535,0.153586,0.095837,,
2073.58,236,0.228137,0.110592,0.087151,0.151891,0.134002,0.157438,0.126235,0.153031,0.095943,,
2073.58,237,0.228137,0.111245,0.088891,0.15556,0.135653,0.158438,0.126585,0.153375,0.096119,,
2045.58,238,0.228137,0.091008,0.092577,0.162211,0.138333,0.160457,0.127962,0.154091,0.096172,,
2045.58,239,0.228137,0.092099,0.095488,0.168347,0.141095,0.162131,0.128547,0.154671,0.096465,,
2045.58,235,0.228137,0.110307,0.085473,0.148606,0.133459,0.158011,0.127122,0.153987,0.096531,,
2045.58,240,0.228137,0.092717,0.097135,0.171817,0.142656,0.163077,0.128877,0.154996,0.096632,,
2045.58,241,0.228137,0.092914,0.09766,0.172924,0.143154,0.163379,0.128982,0.155095,0.096688,,
2045.58,242,0.228137,0.093065,0.098063,0.173772,0.143536,0.16361,0.129062,0.15517,0.096732,,
2045.58,243,0.228137,0.093196,0.098412,0.174509,0.143867,0.163811,0.129132,0.155234,0.09677,,
2045.58,236,0.228137,0.111421,0.088444,0.154866,0.136276,0.159718,0.127719,0.154578,0.09683,,
2045.58,237,0.228137,0.112106,0.09027,0.158715,0.138008,0.160768,0.128085,0.154939,0.097015,,
2073.58,234,0.228137,0.136181,0.116236,0.201762,0.16993,0.177099,0.135501,0.168778,0.108217,,
2045.58,234,0.228137,0.137097,0.117826,0.205391,0.17251,0.179367,0.13687,0.170303,0.109151,,
2081.33,149,0.228137,0.136596,0.289214,0.612342,0.404302,0.341038,0.198178,0.203279,0.11365,,
2081.33,150,0.228137,0.134937,0.290902,0.619948,0.406978,0.342661,0.198745,0.203842,0.11393,,
2081.33,151,0.228137,0.135946,0.293593,0.62562,0.409531,0.344207,0.199286,0.204379,0.114197,,
2053.33,149,0.228137,0.137721,0.292419,0.61961,0.408244,0.343909,0.199573,0.204747,0.114473,,
2053.33,150,0.228137,0.13609,0.294224,0.627516,0.411048,0.345608,0.200168,0.205337,0.114767,,
2053.33,151,0.228137,0.137147,0.297042,0.633455,0.413721,0.347228,0.200734,0.2059,0.115046,,
2025.33,150,0.228137,0.141822,0.307511,0.657846,0.426842,0.354825,0.204839,0.212402,0.11946,,
2025.33,151,0.228137,0.142949,0.310517,0.66418,0.429692,0.356552,0.205444,0.213002,0.119759,,
2098.67,265,0.228137,0.11097,0.145773,0.160223,0.136887,0.208277,0.203523,0.236358,0.12088,,
2098.67,266,0.228137,0.111931,0.148335,0.165623,0.139316,0.209749,0.204037,0.236864,0.12114,,
2098.67,267,0.228137,0.112526,0.14992,0.168963,0.14082,0.21066,0.204355,0.237173,0.121303,,
2070.67,265,0.228137,0.111622,0.147217,0.162944,0.138451,0.209773,0.204591,0.237555,0.121502,,
2070.67,266,0.228137,0.112625,0.149889,0.168576,0.140985,0.211308,0.205127,0.238083,0.121773,,
2070.67,267,0.228137,0.113244,0.151542,0.17206,0.142553,0.212258,0.205459,0.238406,0.121943,,
2042.67,265,0.228137,0.112497,0.149226,0.166652,0.14077,0.212169,0.206274,0.23925,0.122306,,
2042.67,266,0.228137,0.11355,0.152032,0.172567,0.143431,0.213782,0.206838,0.239805,0.12259,,
2042.67,267,0.228137,0.114201,0.153769,0.176226,0.145078,0.21478,0.207186,0.240145,0.122768,,
2031.42,170,0.228137,0.184781,0.334289,0.790501,0.756888,0.687159,0.629485,0.439688,0.124121,,
2087.42,170,0.228137,0.182175,0.327655,0.772125,0.738557,0.675583,0.618436,0.437921,0.124148,,
2059.42,170,0.228137,0.182969,0.329623,0.77707,0.742689,0.67916,0.621634,0.440514,0.12505,,
2081.42,168,0.228137,0.147304,0.274875,0.419456,0.396685,0.436435,0.287855,0.265657,0.127437,,
2081.42,169,0.228137,0.147526,0.275466,0.420703,0.397246,0.436775,0.287973,0.265766,0.127502,,
2081.42,170,0.228137,0.14768,0.275876,0.421566,0.397635,0.43701,0.288053,0.265838,0.127548,,
2081.42,171,0.228137,0.147813,0.276232,0.422316,0.397972,0.437215,0.288123,0.265899,0.12759,,
2081.42,172,0.228137,0.147929,0.276541,0.422969,0.398266,0.437393,0.288184,0.26595,0.127627,,
2081.42,173,0.228137,0.148099,0.276993,0.42392,0.398694,0.437652,0.288274,0.266035,0.127642,,
2081.42,174,0.228137,0.148211,0.277291,0.42455,0.398977,0.437824,0.288333,0.266089,0.127672,,
2079.67,263,0.228137,0.095417,0.06773,0.073503,0.055773,0.091088,0.114347,0.184302,0.127695,,
2081.42,175,0.228137,0.148301,0.277532,0.425057,0.399205,0.437962,0.28838,0.266126,0.127702,,
2081.42,176,0.228137,0.148383,0.277752,0.42552,0.399413,0.438088,0.288423,0.266159,0.12773,,
2079.67,264,0.228137,0.096464,0.070521,0.079385,0.058419,0.092692,0.114908,0.184856,0.127976,,
