time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7]    NO3_ppm[8]    NO3_ppm[9]        etc...
2067.5,195,-2.565228,0.143704,1.348353,3.696917,1.322799,1.209507,0.887491,0.709902,0.355964
2065.33,142,-2.56325,0.008932,1.206807,3.094545,1.299381,0.844849,0.294569,0.26202,0.136566
2067.5,196,-2.562444,0.080725,1.348353,3.696917,1.322799,1.209507,0.887491,0.709902,0.355964
2095.33,144,-2.562167,0.090674,1.386273,3.29178,1.35426,1.190791,0.875112,0.699462,0.350801
2065.42,153,-2.561634,0.152715,1.201741,3.793577,1.378781,0.862461,0.299486,0.266938,0.138994
2067.33,146,-2.560617,0.135893,1.353595,3.324504,1.375376,1.209507,0.887491,0.709902,0.355964
2067.5,197,-2.55956,0.017938,1.348353,3.696917,1.322799,1.209507,0.887491,0.709902,0.355964
2067.42,162,-2.558639,0.635834,1.308384,3.880538,1.375823,1.209507,0.887491,0.709902,0.355964
2039.42,164,-2.556693,0.640748,1.288288,3.802648,1.390445,1.221678,0.895083,0.716611,0.359387
2093.33,140,-2.551241,0.003785,1.209267,3.060934,1.277236,0.828555,0.288938,0.256779,0.133858
2041.33,141,-2.550389,0.155631,1.321603,3.260686,1.726879,3.096489,4.059242,5.198818,2.634495
2097.33,138,-2.549466,0.058082,1.301693,3.212235,1.69073,3.043153,3.996453,5.114381,2.587736
2095.5,182,-2.545282,1.029282,1.339966,3.672911,1.290887,1.190791,0.875112,0.699462,0.350801
2039.33,148,-2.543834,0.179731,1.318778,3.347802,1.389995,1.221678,0.895083,0.716611,0.359387
2095.42,160,-2.543633,0.641024,1.32302,3.957041,1.354704,1.190791,0.875112,0.699462,0.350801
2095.5,183,-2.541693,0.967791,1.339966,3.672911,1.290887,1.190791,0.875112,0.699462,0.350801
2095.5,184,-2.538655,0.905728,1.339966,3.672911,1.290887,1.190791,0.875112,0.699462,0.350801
2039.42,165,-2.53581,0.651154,1.273096,3.757805,1.390445,1.221678,0.895083,0.716611,0.359387
2095.5,185,-2.535542,0.843833,1.339966,3.672911,1.290887,1.190791,0.875112,0.699462,0.350801
2067.42,163,-2.535424,0.656483,1.291001,3.828982,1.375823,1.209507,0.887491,0.709902,0.355964
2069.33,140,-2.534811,0.133149,1.312957,3.239751,1.711553,3.072772,4.029659,5.160332,2.614836
2065.33,143,-2.532372,0.023269,1.188841,3.094545,1.299381,0.844849,0.294569,0.26202,0.136566
2095.5,186,-2.532231,0.782258,1.339966,3.672911,1.290887,1.190791,0.875112,0.699462,0.350801
2067.33,147,-2.532147,0.146151,1.334289,3.324504,1.375376,1.209507,0.887491,0.709902,0.355964
2095.5,187,-2.529342,0.720254,1.339966,3.672911,1.290887,1.190791,0.875112,0.699462,0.350801
2031.33,139,-2.528699,0.06466,1.496978,3.302183,0.851119,0.487417,0.178926,0.190342,0.110491
2095.5,188,-2.526716,0.658008,1.339966,3.672911,1.290887,1.190791,0.875112,0.699462,0.350801
2095.33,145,-2.526202,0.126533,1.359826,3.29178,1.35426,1.190791,0.875112,0.699462,0.350801
2095.5,189,-2.524086,0.595833,1.339966,3.672911,1.290887,1.190791,0.875112,0.699462,0.350801
2093.33,141,-2.523659,0.009787,1.209267,3.060934,1.277236,0.828555,0.288938,0.256779,0.133858
2041.33,142,-2.523332,0.157851,1.303226,3.260686,1.726879,3.096489,4.059242,5.198818,2.634495
2095.5,190,-2.521437,0.533749,1.339966,3.672911,1.290887,1.190791,0.875112,0.699462,0.350801
2095.42,161,-2.520704,0.660667,1.305606,3.904956,1.354704,1.190791,0.875112,0.699462,0.350801
2061.33,142,-2.520604,0.00035,0.744465,2.151477,1.3468,0.778009,0.203661,0.198611,0.103295
2095.5,191,-2.518745,0.471785,1.339966,3.672911,1.290887,1.190791,0.875112,0.699462,0.350801
2095.5,192,-2.516011,0.40994,1.339966,3.672911,1.290887,1.190791,0.875112,0.699462,0.350801
2095.5,193,-2.513823,0.348921,1.334036,3.666407,1.295313,1.190791,0.875112,0.699462,0.350801
2095.5,194,-2.512403,0.287054,1.326914,3.657486,1.301129,1.190791,0.875112,0.699462,0.350801
2067.42,164,-2.512094,0.677836,1.273567,3.777273,1.375823,1.209507,0.887491,0.709902,0.355964
2039.42,166,-2.511274,0.677306,1.254622,3.703275,1.390445,1.221678,0.895083,0.716611,0.359387
2095.5,195,-2.509762,0.225259,1.326914,3.657486,1.301129,1.190791,0.875112,0.699462,0.350801
2097.33,139,-2.508475,0.105654,1.301693,3.212235,1.69073,3.043153,3.996453,5.114381,2.587736
2095.5,196,-2.506948,0.16374,1.326914,3.657486,1.301129,1.190791,0.875112,0.699462,0.350801
2033.33,143,-2.506661,0.035117,0.731554,2.169346,1.360924,0.787102,0.206298,0.20123,0.10462
2039.33,149,-2.505601,0.247407,1.288498,3.347802,1.389995,1.221678,0.895083,0.716611,0.359387
2095.5,197,-2.504037,0.102409,1.326914,3.657486,1.301129,1.190791,0.875112,0.699462,0.350801
2059.33,139,-2.503235,0.066171,1.491671,3.290122,0.844964,0.483656,0.177637,0.189038,0.109822
