"year","month","Cinput_mon_Mgha","Manure_Mgha","Soil_covered","Calc_TAVG","PRCP","TM_OPE"
1958,5,0,0,0,20.78,114.7,148.6
1958,6,0.01156,0,1,26.44,18.5,224
1958,7,0.03943,0,1,27.11,81,-1226.3
1958,8,0.08757,0,1,26.32,5.6,209.9
1958,9,0.04574,0,1,22.31,65.7,139.2
1958,10,0.01363,0,1,15.7,23.2,71.5
1958,11,0.00204,0,0,10.96,12.2,33.5
1958,12,0,0,0,5.85,0,11.5
1959,1,0,0,0,4.66,1,8.1
1959,2,0,0,0,6.61,4.1,14.6
1959,3,0,0,0,11.07,0,42.8
1959,4,0,0,0,15.33,29.4,79.4
1959,5,0,0,0,21.23,72.4,154
1959,6,0.00933,0,1,24.63,200,198.9
1959,7,0.03032,0,1,25.01,46.3,205.7
1959,8,0.05067,0,1,26.12,8.4,207.3
1959,9,0.1577,0,1,23.01,10.2,146.6
1959,10,0.03687,0,1,15.31,44.8,68.5
1959,11,0.01012,0,0,8.16,2,20.5
1959,12,0,0,0,7.08,43.7,15.8
1960,1,0,0,0,4.16,24.1,6.5
1960,2,0,0,0,3.4,23.6,4.6
1960,3,0,0,0,8.28,14.1,25.8
1960,4,0,0,0,16.97,4.6,93.3
1960,5,0.02194,0,0,20.81,33.2,148.3
1960,6,0.04102,0,1,26.12,112,219.4
1960,7,0.02193,0,1,25.36,189.4,210.4
1960,8,0.05003,0,1,25.85,0,203.6
1960,9,0.15561,0,1,22.96,7.4,145.7
1960,10,0.00336,0,1,17.64,30.5,86.2
1960,11,0,0,0,11.62,0,36.4
1960,12,0,0,0,3.42,41.6,4.5
1961,1,0,0,0,3.05,14.7,5
1961,2,0,0,0,6.34,40.7,15.8
1961,3,0,0,0,10.88,39.4,45.6
1961,4,0,0,0,16.09,3.8,90.7
1961,5,0.00256,0,0,21.3,47.7,158.5
1961,6,0.00531,0,1,23.18,93.2,182.4
1961,7,0.00337,0,1,24.02,129.1,194.4
1961,8,0.02558,0,1,23.85,21.7,180.2
1961,9,0.0141,0,1,20.65,11.9,125.6
1961,10,0.00561,0,1,16,16.5,77.8
1961,11,0,0,0,6.94,36.8,17.9
1961,12,0,0,0,4.55,3,9
1962,1,0,0,0,1.75,6.6,1.5
1962,2,0,0,0,8.87,0.5,23.4
1962,3,0,0,0,8.69,0,28
1962,4,0,0,0,15.88,39.6,83.4
1962,5,0.00047,0,0,23.57,0.5,183
1962,6,0.00586,0,1,23.64,53.6,185.4
1962,7,0.01698,0,1,25.78,90.9,216.3
1962,8,0.01712,0,1,24.98,36.5,192.1
1962,9,0.02891,0,1,20.93,113.9,124.6
1962,10,0.00101,0,1,16.85,60.5,79.8
1962,11,0,0,0,10.73,11.2,31.8
1962,12,0,0,0,6.35,31.7,12.8
1963,1,0,0,0,1.35,1,0.8
1963,2,0,0,0,6.69,17,13.5
1963,3,0,0,0,11.91,17,45.6
1963,4,0,0,0,18.46,20.9,105.5
1963,5,0.00121,0,0,21.5,95,154.9
1963,6,0.00572,0,1,24.31,81.2,193.4
1963,7,0.04798,0,1,27.25,6.9,-1232.1
1963,8,0.03802,0,1,25.64,43.9,200.4
1963,9,0.0128,0,1,22.11,58.2,135.3
1963,10,0.00426,0,1,18.43,14.8,91
1963,11,0,0,0,10.85,34.3,30.9
1963,12,0,0,0,3.5,6.7,4.2
1964,1,0,0,0,3.76,11.4,5.3
1964,2,0,0,0,3.18,13.8,4
1964,3,0,0,0,9.56,16.2,32.3
1964,4,0,0,0,16.37,2.8,87.1
1964,5,0.0022,0,0,21.83,42.4,160.2
1964,6,0.00292,0,1,24.82,127,201
1964,7,0.0136,0,1,27.78,20.8,-1254.3
1964,8,0.02565,0,1,26.6,29,213.6
1964,9,0.01826,0,1,21.62,62.7,131.1
1964,10,0.00629,0,1,16.72,7.6,78.1
1964,11,0,0,0,10.25,14.5,29
1964,12,0,0,0,6.01,22.8,11.4
1965,1,0,0,0,6.81,2.1,13.2
1965,2,0,0,0,4.64,8.9,6.7
1965,3,0,0,0,6.01,5.7,13.1
1965,4,0,0,0,17.55,10.5,95.1
1965,5,0.00202,0,0,21.71,41.5,156.4
1965,6,0.00604,0,1,25.24,36.6,206.1
1965,7,0.01994,0,1,27.58,54.4,-1245.9
1965,8,0.02046,0,1,25.53,15.6,198.6
1965,9,0.0178,0,1,22.73,144.4,141.2
1965,10,0.00169,0,1,17.5,27.1,81.9
1965,11,0,0,0,14.04,0.5,47.3
1965,12,0,0,0,8.32,12.7,18.2
1966,1,0,0,0,1.23,13.2,0.7
1966,2,0,0,0,4.73,1.5,7.4
1966,3,0,0,0,13.14,3.3,54.2
1966,4,0,0,0,15.79,77,80.4
1966,5,0.00124,0,0,20.99,17,148.6
1966,6,0.00313,0,1,25.85,57.6,215.2
1966,7,0.03414,0,1,29.66,14.5,-1336.6
1966,8,0.01724,0,1,24.85,224.9,189.8
1966,9,0.03698,0,1,21.96,55.4,133.7
1966,10,0.00178,0,1,16.08,0,71.7
1966,11,0,0,0,13.1,2.8,42.9
1966,12,0,0,0,3.34,0.8,3.9
1967,1,0,0,0,4.81,0,9.4
1967,2,0,0,0,5.24,3.7,10.8
1967,3,0,0,0,13.23,53.1,59.8
1967,4,0,0,0,17.8,24.2,104.1
1967,5,0.00199,0,0,18.89,87.6,129
1967,6,0.01309,0,1,23.99,202,191.5
1967,7,0.01358,0,1,24.97,83.6,205.9
1967,8,0.05191,0,1,23.79,18,178.4
1967,9,0.0114,0,1,20.28,25,120.4
1967,10,0.00645,0,1,15.8,11.5,74.2
1967,11,0,0,0,9.59,2.9,28.3
1967,12,0,0,0,2.65,13.4,3.4
1968,1,0,0,0,4.8,23.9,11.4
1968,2,0,0,0,3.61,20.9,7.5
1968,3,0,0,0,9.12,70.5,37.2
1968,4,0,0,0,12.9,14.8,67.4
1968,5,0.002,0,0,18.6,51.3,131.4
1968,6,0.00526,0,1,23.62,46,189.5
1968,7,0.02745,0,1,24.04,79.9,196.1
1968,8,0.01714,0,1,23.45,69.1,177
1968,9,0.02219,0,1,19.26,17.1,115.2
1968,10,0.00117,0,1,16.58,20.6,84.9
1968,11,0,0,0,8.1,67.9,24.8
1968,12,0,0,0,4.37,12.2,9.6
1969,1,0,0,0,7.17,0,16.7
1969,2,0,0,0,6.28,28.8,13.4
1969,3,0,0,0,5.28,45.1,12.4
1969,4,0,0,0,16.53,28.9,90.1
1969,5,0.00122,0,0,20.22,98.7,142
1969,6,0.00693,0,1,24.94,35.8,203.1
1969,7,0.01355,0,1,28.51,75.9,-1285.6
1969,8,0.03583,0,1,26.44,65.9,211.5
1969,9,0.00622,0,1,21.2,125.2,127.8
1969,10,0.00067,0,1,13.58,197.2,56.1
1969,11,0,0,0,9.19,19.6,25
1969,12,0,0,0,6.16,20.8,12.5
1970,1,0,0,0,3.01,0,4.2
1970,2,0,0,0,7.5,2.9,18.8
1970,3,0,0,0,7.9,54.5,25.4
1970,4,0,0,0,14.73,6.6,75.8
1970,5,0.00291,0,0,20.36,109.2,145
1970,6,0.01005,0,1,24.27,34.6,194.8
1970,7,0.0344,0,1,27.12,0,-1226.7
1970,8,0.01761,0,1,26.13,30.1,207.5
1970,9,0.00913,0,1,21.92,45.8,136.1
1970,10,0.00077,0,1,13.69,34.1,58.2
1970,11,0,0,0,9.26,1.3,26.2
1970,12,0,0,0,7.27,2,17.2
1971,1,0,0,0,5.21,0,9.8
1971,2,0,0,0,5.95,20.7,12.2
1971,3,0,0,0,10.56,5.3,39.5
1971,4,0,0,0,15.37,34.6,79.7
1971,5,0.00215,0,0,20.45,62,144.7
1971,6,0.00784,0,1,25.75,57.2,214.3
1971,7,0.01567,0,1,26.68,19.3,229.2
1971,8,0.03537,0,1,23.01,105.4,167.7
1971,9,0.00439,0,1,21.31,132.6,128.9
1971,10,0.00657,0,1,16.62,45.5,78.6
1971,11,0,0,0,10.46,10.9,31
1971,12,0,0,0,6.47,20.7,13.6
1972,1,0,0,0,5.16,4.1,10.2
1972,2,0,0,0,7.72,3.3,19.7
1972,3,0,0,0,13.5,0,61
1972,4,0,0,0,18.71,8.9,112.1
1972,5,0.00224,0,0,19.63,81.3,136.6
1972,6,0.00314,0,1,24.94,136.4,203.6
1972,7,0.00402,0,1,24.74,113.7,202.6
1972,8,0.01645,0,1,23.5,137.2,174.5
1972,9,0.0027,0,1,21.64,74.9,133.3
1972,10,0.0108,0,1,15.34,44.4,70.1
1972,11,0,0,0,5.76,24.7,12.1
1972,12,0,0,0,3.31,8.1,4.8
1973,1,0,0,0,1.58,36.6,1.5
1973,2,0,0,0,4.54,32,8.3
1973,3,0,0,0,10.75,48.3,42.1
1973,4,0,0,0,12.81,35.7,60.4
1973,5,0.00061,0,0,19.89,11,139.5
1973,6,0.00215,0,1,24.94,8.1,203.6
1973,7,0.01277,0,1,25.14,105.7,207.9
1973,8,0.0082,0,1,25.36,9.1,197.6
1973,9,0.01232,0,1,21.28,18.5,129.7
1973,10,0.00625,0,1,17.72,22.7,88.7
1973,11,0,0,0,11.93,0,39.7
1973,12,0,0,0,5.64,0,11.4
1974,1,0,0,0,5.18,2,9.2
1974,2,0,0,0,7.53,0.3,17.3
1974,3,0,0,0,14.73,39.6,67.5
1974,4,0,0,0,17.27,20.8,95.4
1974,5,0.0027,0,0,23.9,31.3,187
1974,6,0.02347,0,1,25.86,28.2,215.6
1974,7,0.02528,0,1,26.99,56.5,233.7
1974,8,0.01592,0,1,23.55,130.7,173.6
1974,9,0.00467,0,1,17.74,168.2,93.6
1974,10,0.00295,0,1,15.5,98.9,68.6
1974,11,0,0,0,8.92,22.7,22.8
1974,12,0,0,0,4.74,11.1,7.6
1975,1,0,0,0,4.88,10.3,9.9
1975,2,0,0,0,5.01,38.9,10.3
1975,3,0,0,0,9.72,1.1,36.9
1975,4,0,0,0,14.84,11.6,78.3
1975,5,0.00459,0,0,19.79,69.8,139.8
1975,6,0.01176,0,1,25.21,45.8,207.7
1975,7,0.01539,0,1,24.1,109.7,194.8
1975,8,0.01133,0,1,25.26,56,196.7
1975,9,0.00555,0,1,19.67,66.3,115.2
1975,10,0.00529,0,1,16.91,1.6,83.5
1975,11,0,0,0,10.13,30,31.4
1975,12,0,0,0,6,8.7,13.3
1976,1,0,0,0,4.23,0,7.9
1976,2,0,0,0,10.64,0.8,34.4
1976,3,0,0,0,11.17,6.1,46.1
1976,4,0,0,0,16.86,44.8,96.1
1976,5,0.00229,0,0,18.87,30.1,129.6
1976,6,0.0056,0,1,25.02,62.5,205.2
1976,7,0.01476,0,1,23.88,182.9,191.9
1976,8,0.01219,0,1,25.49,50.6,199.6
1976,9,0.01934,0,1,21.09,83.4,128.8
1976,10,0.00656,0,1,12.25,35.2,49.8
1976,11,0,0,0,5.88,14.2,13.2
1976,12,0,0,0,4.56,0.3,8.5
1977,1,0,0,0,1.36,6.1,0.7
1977,2,0,0,0,7.87,9.7,16.7
1977,3,0,0,0,11.07,20.8,38.3
1977,4,0,0,0,15.75,73.7,77.7
1977,5,0.0022,0,0,22.13,62.5,161.3
1977,6,0.0129,0,1,26.27,57.9,221.2
1977,7,0.02025,0,1,26.84,28.7,231.7
1977,8,0.00929,0,1,26.36,109.6,210.2
1977,9,0.00236,0,1,25.24,12.4,169.9
1977,10,0.0092,0,1,17.37,28.2,80.2
1977,11,0,0,0,11.25,0.6,31.4
1977,12,0,0,0,7.21,0.3,13.8
1978,1,0,0,0,0.02,15.1,0
1978,2,0,0,0,1.04,35.6,0.6
1978,3,0,0,0,10.9,5.9,40.4
1978,4,0,0,0,18.39,5.3,106.2
1978,5,0.00262,0,0,21.14,81.3,151.7
1978,6,0.01728,0,1,26.1,49,219
1978,7,0.0307,0,1,28.24,3.8,-1273.9
1978,8,0.01022,0,1,25.65,8.6,200.8
1978,9,0.00488,0,1,22.21,83.6,137.3
1978,10,0.00192,0,1,16.7,27,77.9
1978,11,0,0,0,9.94,28.2,27.5
1978,12,0,0,0,3.35,4.4,4.2
1979,1,0,0,0,-0.15,8.5,0
1979,2,0,0,0,5.49,21.6,10.1
1979,3,0,0,0,11.58,75,44.8
1979,4,0,0,0,16.52,29.8,88.4
1979,5,0.00255,0,0,20.66,101.6,145.8
1979,6,0.00648,0,1,24.85,93.7,201.4
1979,7,0.03526,0,1,27.65,46.7,-1248.8
1979,8,0.01593,0,1,25.22,96.7,195.1
1979,9,0.00393,0,1,22.88,5.4,144.4
1979,10,0.00103,0,1,18.09,15,89.3
1979,11,0,0,0,7.6,2.3,17.4
1979,12,0,0,0,5.81,32.8,10.7
1980,1,0,0,0,4.61,13.8,6.6
1980,2,0,0,0,6.84,9.7,13.3
1980,3,0,0,0,10.44,4.9,35.1
1980,4,0,0,0,15.01,28.8,72
1980,5,0.00143,0,0,20.4,87.8,140
1980,6,0.0058,0,1,28.38,45.2,-1269.9
1980,7,0.01678,0,1,29.05,5.1,-1309.3
1980,8,0.01575,0,1,26.99,41.8,219.3
1980,9,0.02641,0,1,22.8,90.3,142
1980,10,0.01,0,1,15.65,4.8,67.1
1980,11,0,0,0,7.74,58.3,16.4
1980,12,0,0,0,7.61,13,15.5
1981,1,0,0,0,5.38,8.1,9.2
1981,2,0,0,0,7.04,17,14.7
1981,3,0,0,0,10.68,30.3,37.7
1981,4,0,0,0,17.78,52.1,98.8
1981,5,0.00601,0,0,20.05,31.9,137.2
1981,6,0.01828,0,1,26.44,20,223.8
1981,7,0.007,0,1,27.61,85.3,-1247.1
1981,8,0.01287,0,1,24.55,137.5,185.8
1981,9,0.042,0,1,21.36,45.2,127.4
1981,10,0.00097,0,1,15.35,135.6,66.2
1981,11,0,0,0,11.84,16.3,36
1981,12,0,0,0,6.63,5.1,12.8
1982,1,0,0,0,4.27,1.3,7
1982,2,0,0,0,5.74,9.8,11.5
1982,3,0,0,0,12.04,11.1,49.2
1982,4,0,0,0,15.13,64.3,77.7
1982,5,0.00279,0,0,19.9,115.3,138.2
1982,6,0.01168,0,1,23.07,126.7,178.4
1982,7,0.00894,0,1,26.72,52.8,229.7
1982,8,0.01828,0,1,27.22,27.4,-1153.3
1982,9,0.01397,0,1,23.55,32.7,152.4
1982,10,0.00795,0,1,15.85,12.2,72.6
1982,11,0,0,0,9.22,29.9,25.1
1982,12,0,0,0,3.47,49.6,4.8
1983,1,0,0,0,0.27,69.9,0.1
1983,2,0,0,0,6.02,8.2,12.8
1983,3,0,0,0,10.52,14,39.9
1983,4,0,0,0,12.64,19.6,58.3
1983,5,0.00291,0,0,18.8,31.2,126.5
1983,6,0.00779,0,1,23.36,45.5,182.5
1983,7,0.02,0,1,27,10.4,-1221.7
1983,8,0.00937,0,1,26.9,8.2,217.7
1983,9,0.02175,0,1,23.68,10,154.1
1983,10,0.00352,0,1,17.53,274.4,86.5
1983,11,0,0,0,11.35,13.7,36
1983,12,0,0,0,-0.16,9.2,0
1984,1,0,0,0,3.25,0.8,4.6
1984,1,0,0,0,2.72,2.03,3.2
1984,2,0,0,0,7.36,4.3,17.8
1984,2,0,0,0,7.51,4.06,17.6
1984,3,0,0,0,9.67,5.9,34.7
1984,3,0,0,0,10.09,5.58,36
1984,4,0,0,0,14.43,5.9,72.6
1984,4,0,0,0,14.63,3.81,72.7
1984,5,0.00208,0,0,21.78,11.5,161.3
1984,5,0.00208,0,0,21.51,27.42,156.8
1984,6,0.00563,0,1,24.9,109.9,202.8
1984,6,0.00563,0,1,25.34,158.99,208.4
1984,7,0.00341,0,1,25.7,13.5,215.4
1984,7,0.00341,0,1,26.71,38.35,229.6
1984,8,0.0244,0,1,25.64,94.4,201.1
1984,8,0.0244,0,1,26.33,81.02,210
1984,9,0.02597,0,1,20.74,3.8,123.8
1984,9,0.02597,0,1,21.18,21.85,127.1
1984,10,0.00052,0,1,15.28,44.2,69
1984,10,0.00052,0,1,15.35,56.12,68.2
1984,11,0,0,0,9.68,47.5,27.7
1984,11,0,0,0,9.96,49.27,28.1
1984,12,0,0,0,6.62,29.9,14.4
1984,12,0,0,0,6.83,40.14,14.5
1985,1,0,0,0,1.99,9.8,1.9
1985,1,0,0,0,1.86,9.9,1.5
1985,2,0,0,0,5.45,6.9,10.3
1985,2,0,0,0,5.19,7.37,8.9
1985,3,0,0,0,11.29,30.2,43.5
1985,3,0,0,0,12.42,39.63,49.8
1985,4,0,0,0,17.23,12.2,95.8
1985,4,0,0,0,17.55,21.08,97.3
1985,5,0.00334,0,0,21.1,75.4,151.8
1985,5,0.00334,0,0,21.55,84.6,156.1
1985,6,0.0138,0,1,24.14,114.7,192
1985,6,0.0138,0,1,24.5,141.21,196.3
1985,7,0.02355,0,1,26.47,99.9,226.1
1985,7,0.02355,0,1,26.87,67.05,232
1985,8,0.01074,0,1,27.47,16,-1163.1
