"Climate_Scenario","scenario_abbrev","Mgmt_Scenario","Scenario_Name","Model","site_name","CO2e_N2O","CO2e_CH4","CO2e_SOC","GWP","climate_desc"
2,"RF25-CR",43,"2_43","Millennial","KBS",11.20881253635,-0.8366481864,4.3412121218213,14.7133764717713,"GFDL_Low"
2,"RF25-CR",43,"2_43","RothC","KBS",11.20881253635,-0.8366481864,5.10583333333333,15.4779976832833,"GFDL_Low"
2,"RF35-CR",44,"2_44","APSIM","KBS",12.74428155,-0.8677186416,-5.86666666666667,6.00989624173333,"GFDL_Low"
2,"RF35-CR",44,"2_44","Daycent","KBS",7.7905685715,-0.8677186416,-1.83333333333333,5.08951659656667,"GFDL_Low"
2,"RF35-CR",44,"2_44","Millennial","KBS",10.26742506075,-0.8677186416,8.9375359000356,18.3372423191856,"GFDL_Low"
2,"RF35-CR",44,"2_44","RothC","KBS",10.26742506075,-0.8677186416,5.91433333333333,15.3140397524833,"GFDL_Low"
2,"RR50-CR",51,"2_51","APSIM","KBS",18.83458863,-0.6228035028,-9.53333333333333,8.67845179386667,"GFDL_Low"
2,"RR50-CR",51,"2_51","Daycent","KBS",10.6083732612,-0.6228035028,-16.8666666666667,-6.88109690826666,"GFDL_Low"
2,"RR50-CR",51,"2_51","Millennial","KBS",14.7214809456,-0.6228035028,-11.9538054365473,2.14487200625267,"GFDL_Low"
2,"RR50-CR",51,"2_51","RothC","KBS",14.7214809456,-0.6228035028,2.79546666666667,16.8941441094667,"GFDL_Low"
2,"RR25-CR",52,"2_52","APSIM","KBS",20.35289685,-0.4702291812,-11,8.8826676688,"GFDL_Low"
2,"RR25-CR",52,"2_52","Daycent","KBS",10.3935699153,-0.4702291812,-25.3,-15.3766592659,"GFDL_Low"
2,"RR25-CR",52,"2_52","Millennial","KBS",15.37323338265,-0.4702291812,-23.5518023332768,-8.6487981318268,"GFDL_Low"
2,"RR25-CR",52,"2_52","RothC","KBS",15.37323338265,-0.4702291812,2.07936666666667,16.9823708681167,"GFDL_Low"
2,"RR00-CR",53,"2_53","APSIM","KBS",23.29041858,-0.3240170388,-12.1,10.8664015412,"GFDL_Low"
2,"RR00-CR",53,"2_53","Daycent","KBS",10.1205307632,-0.3240170388,-24.9333333333333,-15.1368196089333,"GFDL_Low"
2,"RR00-CR",53,"2_53","Millennial","KBS",16.7054746716,-0.3240170388,-36.0532499180418,-19.6717922852418,"GFDL_Low"
2,"RR00-CR",53,"2_53","RothC","KBS",16.7054746716,-0.3240170388,1.4685,17.8499576328,"GFDL_Low"
2,"BC19-CR",61,"2_61","APSIM","KBS",17.02414857,NA,-4.76666666666667,12.2574819033333,"GFDL_Low"
2,"BC38-CR",62,"2_62","APSIM","KBS",16.49213709,NA,-1.09999999999999,15.39213709,"GFDL_Low"
2,"BC57-CR",63,"2_63","APSIM","KBS",16.0232787,NA,1.83333333333333,17.8566120333333,"GFDL_Low"
2,"BC76-CR",64,"2_64","APSIM","KBS",15.64535115,NA,4.4,20.04535115,"GFDL_Low"
2,"BC96-CR",65,"2_65","APSIM","KBS",15.31424895,NA,6.6,21.91424895,"GFDL_Low"
3,"CR",1,"3_1","APSIM","KBS",20.19547959,-0.7141508172,-8.43333333333333,11.0479954394667,"GFDL_High"
3,"CR",1,"3_1","Daycent","KBS",10.8970773483,-0.7141508172,-4.03333333333333,6.14959319776667,"GFDL_High"
3,"CR",1,"3_1","Millennial","KBS",15.54627846915,-0.7141508172,25.6115010462916,40.4436286982416,"GFDL_High"
3,"CR",1,"3_1","RothC","KBS",15.54627846915,-0.7141508172,4.21116666666667,19.0432943186167,"GFDL_High"
3,"NT-CR",2,"3_2","APSIM","KBS",18.02097297,-2.8905266592,-7.7,7.4304463108,"GFDL_High"
3,"NT-CR",2,"3_2","Daycent","KBS",7.9359078084,-2.8905266592,-12.4666666666667,-7.42128551746666,"GFDL_High"
3,"NT-CR",2,"3_2","Millennial","KBS",12.9784403892,-2.8905266592,8.69554549047283,18.7834592204728,"GFDL_High"
3,"NT-CR",2,"3_2","RothC","KBS",12.9784403892,-2.8905266592,1.63496666666666,11.7228803966667,"GFDL_High"
3,"CC-CR",3,"3_3","APSIM","KBS",8.54418708,-0.3159234936,-3.30000000000001,4.92826358639999,"GFDL_High"
3,"CC-CR",3,"3_3","Daycent","KBS",9.6398380221,-0.3159234936,3.3,12.6239145285,"GFDL_High"
3,"CC-CR",3,"3_3","Millennial","KBS",9.09201255105,-0.3159234936,5.81464124344477,14.5907303008948,"GFDL_High"
3,"CC-CR",3,"3_3","RothC","KBS",9.09201255105,-0.3159234936,-0.135666666666663,8.64042239078334,"GFDL_High"
3,"RF05-CR",41,"3_41","APSIM","KBS",19.27920423,-0.7224977376,-8.06666666666667,10.4900398257333,"GFDL_High"
3,"RF05-CR",41,"3_41","Daycent","KBS",10.4840434842,-0.7224977376,-3.66666666666667,6.09487907993333,"GFDL_High"
3,"RF05-CR",41,"3_41","Millennial","KBS",14.8816238571,-0.7224977376,26.9277106104212,41.0868367299212,"GFDL_High"
3,"RF05-CR",41,"3_41","RothC","KBS",14.8816238571,-0.7224977376,4.48543333333333,18.6445594528333,"GFDL_High"
3,"RF15-CR",42,"3_42","APSIM","KBS",17.55464997,-0.7357225284,-7.33333333333333,9.48559410826667,"GFDL_High"
3,"RF15-CR",42,"3_42","Daycent","KBS",9.6648472635,-0.7357225284,-2.2,6.7291247351,"GFDL_High"
3,"RF15-CR",42,"3_42","Millennial","KBS",13.60974861675,-0.7357225284,29.7024209513101,42.5764470396601,"GFDL_High"
3,"RF15-CR",42,"3_42","RothC","KBS",13.60974861675,-0.7357225284,5.0622,17.93622608835,"GFDL_High"
3,"RF25-CR",43,"3_43","APSIM","KBS",15.93435987,-0.7529234328,-6.96666666666667,8.21476977053334,"GFDL_High"
3,"RF25-CR",43,"3_43","Daycent","KBS",8.8462535733,-0.7529234328,-0.733333333333344,7.35999680716666,"GFDL_High"
3,"RF25-CR",43,"3_43","Millennial","KBS",12.39030672165,-0.7529234328,33.0314578914089,44.6688411802589,"GFDL_High"
3,"RF25-CR",43,"3_43","RothC","KBS",12.39030672165,-0.7529234328,5.75703333333333,17.3944166221833,"GFDL_High"
3,"RF35-CR",44,"3_44","APSIM","KBS",14.55230205,-0.7901996112,-6.23333333333333,7.52876910546667,"GFDL_High"
3,"RF35-CR",44,"3_44","Daycent","KBS",8.0054757354,-0.7901996112,0.73333333333333,7.94860945753333,"GFDL_High"
3,"RF35-CR",44,"3_44","Millennial","KBS",11.2788888927,-0.7901996112,36.7308455488817,47.2195348303817,"GFDL_High"
3,"RF35-CR",44,"3_44","RothC","KBS",11.2788888927,-0.7901996112,6.512,17.0006892815,"GFDL_High"
3,"RR50-CR",51,"3_51","APSIM","KBS",20.93046384,-0.5233879512,-9.53333333333333,10.8737425554667,"GFDL_High"
3,"RR50-CR",51,"3_51","Daycent","KBS",11.0886721374,-0.5233879512,-14.3,-3.7347158138,"GFDL_High"
3,"RR50-CR",51,"3_51","Millennial","KBS",16.0095679887,-0.5233879512,18.9592521726113,34.4454322101113,"GFDL_High"
3,"RR50-CR",51,"3_51","RothC","KBS",16.0095679887,-0.5233879512,3.4386,18.9247800375,"GFDL_High"
3,"RR25-CR",52,"3_52","APSIM","KBS",22.29592365,-0.3670791768,-10.2666666666667,11.6621778065333,"GFDL_High"
3,"RR25-CR",52,"3_52","Daycent","KBS",11.0119710987,-0.3670791768,-22.7333333333333,-12.0884414114333,"GFDL_High"
3,"RR25-CR",52,"3_52","Millennial","KBS",16.65394737435,-0.3670791768,9.97560135635474,26.2624695539047,"GFDL_High"
3,"RR25-CR",52,"3_52","RothC","KBS",16.65394737435,-0.3670791768,2.79729999999999,19.08416819755,"GFDL_High"
3,"RR00-CR",53,"3_53","APSIM","KBS",24.94703211,-0.2195805816,-10.6333333333333,14.0941181950667,"GFDL_High"
3,"RR00-CR",53,"3_53","Daycent","KBS",10.9780833591,-0.2195805816,-23.8333333333333,-13.0748305558333,"GFDL_High"
3,"RR00-CR",53,"3_53","Millennial","KBS",17.96255773455,-0.2195805816,0.391570676648855,18.1345478295989,"GFDL_High"
3,"RR00-CR",53,"3_53","RothC","KBS",17.96255773455,-0.2195805816,2.2242,19.96717715295,"GFDL_High"
3,"BC19-CR",61,"3_61","APSIM","KBS",19.09774581,NA,-4.76666666666667,14.3310791433333,"GFDL_High"
3,"BC38-CR",62,"3_62","APSIM","KBS",18.55844133,NA,-1.46666666666666,17.0917746633333,"GFDL_High"
3,"BC57-CR",63,"3_63","APSIM","KBS",18.06422046,NA,1.46666666666669,19.5308871266667,"GFDL_High"
3,"BC76-CR",64,"3_64","APSIM","KBS",17.66815479,NA,4.4,22.06815479,"GFDL_High"
3,"BC96-CR",65,"3_65","APSIM","KBS",17.32592004,NA,6.9666666666667,24.2925867066667,"GFDL_High"
4,"CR",1,"4_1","APSIM","KBS",25.03251036,-0.8666811432,-8.43333333333333,15.7324958834667,"UKESM_Low"
4,"CR",1,"4_1","Daycent","KBS",11.4369442902,-0.8666811432,-2.93333333333334,7.63692981366666,"UKESM_Low"
4,"CR",1,"4_1","Millennial","KBS",18.2347273251,-0.8666811432,34.4565343305128,51.8245805124128,"UKESM_Low"
4,"CR",1,"4_1","RothC","KBS",18.2347273251,-0.8666811432,5.29576666666667,22.6638128485667,"UKESM_Low"
4,"NT-CR",2,"4_2","APSIM","KBS",22.41146193,-3.1850667864,-7.33333333333333,11.8930618102667,"UKESM_Low"
4,"NT-CR",2,"4_2","Daycent","KBS",8.4087987984,-3.1850667864,-9.9,-4.676267988,"UKESM_Low"
4,"NT-CR",2,"4_2","Millennial","KBS",15.4101303642,-3.1850667864,11.5653982195279,23.7904617973279,"UKESM_Low"
4,"NT-CR",2,"4_2","RothC","KBS",15.4101303642,-3.1850667864,4.26946666666667,16.4945302444667,"UKESM_Low"
4,"CC-CR",3,"4_3","APSIM","KBS",8.7126897,-0.6070549896,-2.56666666666666,5.53896804373334,"UKESM_Low"
4,"CC-CR",3,"4_3","Daycent","KBS",8.9272026558,-0.6070549896,5.86666666666667,14.1868143328667,"UKESM_Low"
4,"CC-CR",3,"4_3","Millennial","KBS",8.8199461779,-0.6070549896,3.7630314948622,11.9759226831622,"UKESM_Low"
4,"CC-CR",3,"4_3","RothC","KBS",8.8199461779,-0.6070549896,4.4132,12.6260911883,"UKESM_Low"
4,"RF05-CR",41,"4_41","APSIM","KBS",23.8169646,-0.8740185696,-8.43333333333333,14.5096126970667,"UKESM_Low"
4,"RF05-CR",41,"4_41","Daycent","KBS",11.0133235641,-0.8740185696,-2.2,7.9393049945,"UKESM_Low"
4,"RF05-CR",41,"4_41","Millennial","KBS",17.41514408205,-0.8740185696,35.7881338750129,52.3292593874629,"UKESM_Low"
4,"RF05-CR",41,"4_41","RothC","KBS",17.41514408205,-0.8740185696,5.55646666666667,22.0975921791167,"UKESM_Low"
4,"RF15-CR",42,"4_42","APSIM","KBS",21.50550831,-0.8814010068,-7.7,12.9241073032,"UKESM_Low"
4,"RF15-CR",42,"4_42","Daycent","KBS",10.1645010753,-0.8814010068,-1.1,8.1831000685,"UKESM_Low"
4,"RF15-CR",42,"4_42","Millennial","KBS",15.83500469265,-0.8814010068,38.6093030107367,53.5629066965867,"UKESM_Low"
4,"RF15-CR",42,"4_42","RothC","KBS",15.83500469265,-0.8814010068,6.11783333333333,21.0714370191833,"UKESM_Low"
4,"RF25-CR",43,"4_43","APSIM","KBS",19.3655319,-0.9069612984,-6.96666666666667,11.4919039349333,"UKESM_Low"
4,"RF25-CR",43,"4_43","Daycent","KBS",9.316891584,-0.9069612984,0.366666666666659,8.77659695226666,"UKESM_Low"
4,"RF25-CR",43,"4_43","Millennial","KBS",14.341211742,-0.9069612984,41.964209536007,55.398459979607,"UKESM_Low"
4,"RF25-CR",43,"4_43","RothC","KBS",14.341211742,-0.9069612984,6.78993333333333,20.2241837769333,"UKESM_Low"
4,"RF35-CR",44,"4_44","APSIM","KBS",17.39917179,-0.949691466,-6.23333333333333,10.2161469906667,"UKESM_Low"
4,"RF35-CR",44,"4_44","Daycent","KBS",8.467975659,-0.949691466,1.83333333333333,9.35161752633333,"UKESM_Low"
4,"RF35-CR",44,"4_44","Millennial","KBS",12.9335737245,-0.949691466,45.5353484864535,57.5192307449535,"UKESM_Low"
4,"RF35-CR",44,"4_44","RothC","KBS",12.9335737245,-0.949691466,7.49356666666667,19.4774489251667,"UKESM_Low"
4,"RR50-CR",51,"4_51","APSIM","KBS",25.85580855,-0.7025254596,-8.8,16.3532830904,"UKESM_Low"
4,"RR50-CR",51,"4_51","Daycent","KBS",11.7104998725,-0.7025254596,-12.4666666666667,-1.45869225376667,"UKESM_Low"
4,"RR50-CR",51,"4_51","Millennial","KBS",18.78315421125,-0.7025254596,29.626226293723,47.706855045373,"UKESM_Low"
4,"RR50-CR",51,"4_51","RothC","KBS",18.78315421125,-0.7025254596,4.82056666666667,22.9011954183167,"UKESM_Low"
4,"RR25-CR",52,"4_52","APSIM","KBS",27.25929063,-0.5499098748,-8.8,17.9093807552,"UKESM_Low"
4,"RR25-CR",52,"4_52","Daycent","KBS",11.7454948611,-0.5499098748,-20.1666666666667,-8.97108168036667,"UKESM_Low"
4,"RR25-CR",52,"4_52","Millennial","KBS",19.50239274555,-0.5499098748,23.1423940959805,42.0948769667305,"UKESM_Low"
4,"RR25-CR",52,"4_52","RothC","KBS",19.50239274555,-0.5499098748,4.477,23.42948287075,"UKESM_Low"
4,"RR00-CR",53,"4_53","APSIM","KBS",29.6983401,-0.4028285628,-8.06666666666667,21.2288448705333,"UKESM_Low"
4,"RR00-CR",53,"4_53","Daycent","KBS",11.700689286,-0.4028285628,-20.9,-9.6021392768,"UKESM_Low"
4,"RR00-CR",53,"4_53","Millennial","KBS",20.699514693,-0.4028285628,15.3948957196558,35.6915818498558,"UKESM_Low"
4,"RR00-CR",53,"4_53","RothC","KBS",20.699514693,-0.4028285628,3.9292,24.2258861302,"UKESM_Low"
4,"BC19-CR",61,"4_61","APSIM","KBS",23.53185549,NA,-4.76666666666667,18.7651888233333,"UKESM_Low"
4,"BC38-CR",62,"4_62","APSIM","KBS",22.92301869,NA,-1.46666666666666,21.4563520233333,"UKESM_Low"
4,"BC57-CR",63,"4_63","APSIM","KBS",22.37737359,NA,1.83333333333333,24.2107069233333,"UKESM_Low"
4,"BC76-CR",64,"4_64","APSIM","KBS",21.91069881,NA,4.7666666666667,26.6773654766667,"UKESM_Low"
4,"BC96-CR",65,"4_65","APSIM","KBS",21.49919343,NA,6.9666666666667,28.4658600966667,"UKESM_Low"
5,"CR",1,"5_1","APSIM","KBS",27.05204931,-0.863764272,-8.06666666666667,18.1216183713333,"UKESM_High"
5,"CR",1,"5_1","Daycent","KBS",11.1118166445,-0.863764272,-1.46666666666667,8.78138570583332,"UKESM_High"
5,"CR",1,"5_1","Millennial","KBS",19.08193297725,-0.863764272,41.7560935701133,59.9742622753633,"UKESM_High"
5,"CR",1,"5_1","RothC","KBS",19.08193297725,-0.863764272,6.10976666666667,24.3279353719167,"UKESM_High"
5,"NT-CR",2,"5_2","APSIM","KBS",23.93278173,-3.1999494528,-7.33333333333333,13.3994989438667,"UKESM_High"
5,"NT-CR",2,"5_2","Daycent","KBS",8.1213367521,-3.1999494528,-9.53333333333333,-4.61194603403333,"UKESM_High"
5,"NT-CR",2,"5_2","Millennial","KBS",16.02705924105,-3.1999494528,9.7802705858968,22.6073803741468,"UKESM_High"
5,"NT-CR",2,"5_2","RothC","KBS",16.02705924105,-3.1999494528,4.84623333333333,17.6733431215833,"UKESM_High"
5,"CC-CR",3,"5_3","APSIM","KBS",9.63269307,-0.6279208056,-2.19999999999999,6.80477226440001,"UKESM_High"
5,"CC-CR",3,"5_3","Daycent","KBS",9.2459190252,-0.6279208056,7.33333333333333,15.9513315529333,"UKESM_High"
5,"CC-CR",3,"5_3","Millennial","KBS",9.4393060476,-0.6279208056,-11.1758584697507,-2.3644732277507,"UKESM_High"
5,"CC-CR",3,"5_3","RothC","KBS",9.4393060476,-0.6279208056,6.2931,15.104485242,"UKESM_High"
5,"RF05-CR",41,"5_41","APSIM","KBS",25.73274561,-0.8704630548,-8.06666666666667,16.7956158885333,"UKESM_High"
5,"RF05-CR",41,"5_41","Daycent","KBS",10.6775075121,-0.8704630548,-1.1,8.7070444573,"UKESM_High"
5,"RF05-CR",41,"5_41","Millennial","KBS",18.20512656105,-0.8704630548,42.6780571720884,60.0127206783384,"UKESM_High"
5,"RF05-CR",41,"5_41","RothC","KBS",18.20512656105,-0.8704630548,6.3107,23.64536350625,"UKESM_High"
5,"RF15-CR",42,"5_42","APSIM","KBS",23.23248213,-0.8839764396,-7.33333333333333,15.0151723570667,"UKESM_High"
5,"RF15-CR",42,"5_42","Daycent","KBS",9.802940004,-0.8839764396,0,8.9189635644,"UKESM_High"
5,"RF15-CR",42,"5_42","Millennial","KBS",16.517711067,-0.8839764396,44.6685020921271,60.3022367195271,"UKESM_High"
5,"RF15-CR",42,"5_42","RothC","KBS",16.517711067,-0.8839764396,6.7452,22.3789346274,"UKESM_High"
