"","Climate_Scenario","Mgmt_Scenario","Scenario_Name","mean_MaizeYld_Mgha","mean_SoyYld_Mgha","mean_WheatYld_Mgha","mean_SOC_Mgha","mean_N2O_Mgha","mean_CH4_Mgha","mean_CO2e_SOC","mean_CO2e_N2O","mean_CO2e_CH4","mean_GWP","sd_MaizeYld_Mgha","sd_SoyYld_Mgha","sd_WheatYld_Mgha","sd_SOC_Mgha","sd_N2O_Mgha","sd_CH4_Mgha","sd_CO2e_SOC","sd_CO2e_N2O","sd_CO2e_CH4","sd_GWP","scenario_abbrev"
"30",2,65,"2_65",-1.9,0.3,0.6,-1.1,0.02,NA,4.03,4.71,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
"31",3,1,"3_1",-2.1,-0.9,0,-2.93,0.05,-0.05,10.74,14.38,-1.43,23.7,1.2,0.3,0.5,7.66,0.02,0,28.1,5.48,0,29.7,"CR"
"32",3,2,"3_2",-1.8,-1,0.2,0.98,0.04,-0.22,-3.58,11.42,-6.24,1.6,1.4,0.4,0.3,3.81,0.01,0,13.96,3.31,0,14,"NT-CR"
"33",3,3,"3_3",-1.7,-0.6,-0.1,0.89,0.03,-0.03,-3.25,10.06,-0.77,6,0.2,0.3,0.5,4.09,0.02,0,15.01,5.92,0,18.1,"CC-CR"
"34",3,41,"3_41",-2,-0.9,0,-3.15,0.05,-0.05,11.56,13.78,-1.45,23.9,1.2,0.3,0.5,7.74,0.02,0,28.4,5.3,0,29.9,"RF05-CR"
"35",3,42,"3_42",-1.9,-0.9,0,-3.62,0.04,-0.05,13.28,12.61,-1.49,24.4,1.2,0.3,0.4,8.02,0.02,0,29.41,4.94,0,30.8,"RF15-CR"
"36",3,43,"3_43",-1.8,-0.9,0,-4.16,0.04,-0.06,15.27,11.45,-1.54,25.2,1.1,0.3,0.4,8.29,0.02,0,30.39,4.54,0,31.7,"RF25-CR"
"37",3,44,"3_44",-1.6,-0.9,0,-4.76,0.03,-0.06,17.44,10.32,-1.63,26.1,0.9,0.3,0.3,8.61,0.01,0,31.58,4.12,0,32.7,"RF35-CR"
"38",3,51,"3_51",-1.9,-0.9,0.1,-1.28,0.05,-0.03,4.7,15.16,-0.95,18.9,1.5,0.3,0.8,7.72,0.02,0,28.33,5.86,0,28.9,"RR50-CR"
"39",3,52,"3_52",-1.6,-0.9,0.2,0.45,0.05,-0.02,-1.65,15.79,-0.49,13.7,1.9,0.3,0.9,7.87,0.02,0,28.85,5.97,0,28.2,"RR25-CR"
"40",3,53,"3_53",-1.4,-0.9,0.2,1.7,0.06,0,-6.24,16.59,-0.08,10.3,2.3,0.3,1.1,7.65,0.02,0,28.06,5.94,0,26.6,"RR00-CR"
"41",3,61,"3_61",-3,-1.1,-0.4,3,0.02,NA,-11,7.01,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
"42",3,62,"3_62",-3,-1.1,-0.4,1.7,0.02,NA,-6.23,6.72,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
"43",3,63,"3_63",-3,-1.1,-0.3,0.4,0.02,NA,-1.47,6.5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
"44",3,64,"3_64",-3,-1.1,-0.3,-0.9,0.02,NA,3.3,6.34,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
"45",3,65,"3_65",-3,-1.1,-0.3,-2,0.02,NA,7.33,6.22,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
"46",4,1,"4_1",-1.3,-0.7,0.6,-2.96,0.05,-0.06,10.84,13.54,-1.74,22.6,1.2,0.3,0.5,7.79,0.02,0,28.58,5.8,0,30.3,"CR"
"47",4,2,"4_2",-1.2,-0.6,0.6,0.71,0.04,-0.24,-2.59,10.71,-6.81,1.3,1.3,0.3,0.5,4.3,0.01,0,15.78,3.72,0,15.9,"NT-CR"
"48",4,3,"4_3",-1.3,-0.5,0.4,-0.98,0.03,-0.05,3.58,8.85,-1.34,11.1,1.1,0.2,0.3,2.31,0.02,0,8.48,5.39,0,13.2,"CC-CR"
"49",4,41,"4_41",-1.2,-0.7,0.6,-3.19,0.04,-0.06,11.71,13,-1.76,22.9,1.2,0.3,0.4,7.91,0.02,0,29.02,5.58,0,30.7,"RF05-CR"
"50",4,42,"4_42",-1.2,-0.7,0.5,-3.64,0.04,-0.06,13.36,11.92,-1.79,23.5,1.3,0.3,0.4,8.17,0.02,0,29.96,5.12,0,31.5,"RF15-CR"
"51",4,43,"4_43",-1.2,-0.7,0.5,-4.13,0.04,-0.07,15.13,10.89,-1.84,24.2,1.3,0.3,0.4,8.47,0.02,0,31.07,4.69,0,32.5,"RF25-CR"
"52",4,44,"4_44",-1.2,-0.7,0.5,-4.74,0.03,-0.07,17.37,9.84,-1.93,25.3,1.3,0.3,0.4,8.78,0.01,0,32.21,4.23,0,33.4,"RF35-CR"
"53",4,51,"4_51",-1.1,-0.7,0.7,-1.35,0.05,-0.05,4.96,14.3,-1.3,18,1.5,0.3,0.3,7.85,0.02,0,28.78,6.19,0,29.4,"RR50-CR"
"54",4,52,"4_52",-0.9,-0.7,0.8,0.33,0.05,-0.03,-1.23,14.87,-0.87,12.8,1.7,0.3,0.2,7.99,0.02,0,29.3,6.31,0,28.7,"RR25-CR"
"55",4,53,"4_53",-0.8,-0.7,1,1.57,0.05,-0.02,-5.75,15.53,-0.48,9.3,1.9,0.3,0.1,7.77,0.02,0,28.48,6.26,0,26.9,"RR00-CR"
"56",4,61,"4_61",-2.2,-0.9,0.9,3.2,0.02,NA,-11.73,5.86,NA,-5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
"57",4,62,"4_62",-2.2,-0.9,0.9,1.9,0.02,NA,-6.97,5.61,NA,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
"58",4,63,"4_63",-2.2,-0.9,1,0.6,0.02,NA,-2.2,5.43,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
"59",4,64,"4_64",-2.2,-0.9,1,-0.6,0.02,NA,2.2,5.31,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
"60",4,65,"4_65",-2.2,-0.9,1,-1.8,0.02,NA,6.6,5.21,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
"61",5,1,"5_1",-3.4,-1.3,-0.9,-4.42,0.05,-0.08,16.23,14.63,-2.24,28.6,1.1,0.5,1,5.84,0.02,0,21.42,4.55,0,23.1,"CR"
"62",5,2,"5_2",-3.2,-1.3,-1,5.39,0.04,-0.27,-19.75,12.02,-7.6,-15.3,1.7,0.4,0.9,12.06,0.01,0,44.22,2.76,0,44.3,"NT-CR"
"63",5,3,"5_3",-2.6,-1.4,-1,6.99,0.03,-0.08,-25.65,8.77,-2.2,-19.1,0.8,0.3,1,22.11,0.02,0,81.06,4.59,0,81.6,"CC-CR"
"64",5,41,"5_41",-3.2,-1.3,-0.8,-4.5,0.05,-0.08,16.49,13.98,-2.25,28.2,1.4,0.5,1,5.81,0.01,0,21.31,4.37,0,22.9,"RF05-CR"
"65",5,42,"5_42",-2.9,-1.3,-0.7,-4.65,0.04,-0.08,17.04,12.69,-2.28,27.5,1.8,0.5,0.9,5.78,0.01,0,21.2,4,0,22.7,"RF15-CR"
"66",5,43,"5_43",-2.7,-1.3,-0.6,-4.85,0.04,-0.08,17.77,11.45,-2.34,26.9,2.2,0.5,0.8,5.82,0.01,0,21.33,3.61,0,22.7,"RF25-CR"
"67",5,44,"5_44",-2.5,-1.3,-0.6,-5.1,0.03,-0.09,18.7,10.25,-2.43,26.5,2.3,0.5,0.6,5.8,0.01,0,21.25,3.21,0,22.5,"RF35-CR"
"68",5,51,"5_51",-3.4,-1.3,-0.8,-4.2,0.05,-0.07,15.41,15.59,-1.86,29.1,1.1,0.5,1,7.35,0.02,0,26.96,5.03,0,27.6,"RR50-CR"
"69",5,52,"5_52",-3.4,-1.3,-0.8,-4.1,0.06,-0.05,15.04,16.62,-1.42,30.2,1,0.5,1,9.09,0.02,0,33.34,5.41,0,33.1,"RR25-CR"
"70",5,53,"5_53",-3.5,-1.3,-0.8,-4.17,0.06,-0.04,15.28,17.77,-0.99,32.1,1,0.5,0.9,10.22,0.02,0,37.46,5.65,0,36.6,"RR00-CR"
"71",5,61,"5_61",-4.4,-1,-1.5,0.2,0.03,NA,-0.73,8.44,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
"72",5,62,"5_62",-4.4,-1,-1.5,-1.2,0.03,NA,4.4,8.11,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
"73",5,63,"5_63",-4.4,-1,-1.5,-2.5,0.03,NA,9.17,7.88,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
"74",5,64,"5_64",-4.4,-1,-1.5,-3.8,0.03,NA,13.93,7.71,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
"75",5,65,"5_65",-4.5,-1,-1.4,-5.1,0.03,NA,18.7,7.58,NA,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
