"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha"
"Millennial","2","42","2_42",NA,NA,NA,"-0.0174931528888038",NA,NA,NA,NA,"65.6366005061519"
"RothC","2","42","2_42",NA,NA,NA,"-1.184",NA,NA,NA,NA,"19.9011"
"APSIM","2","43","2_43","0.408404040404033","0.501199999999997","0.512145454545454","1.8","5.28871","0.136454896551726",NA,NA,"27.8"
"Daycent","2","43","2_43","-0.721534294051636","0.647648641975302","-0.56360024691358","1","19.9170563","-0.110588470344823","-23.2402274","0.304725874329488","26.9"
"Millennial","2","43","2_43",NA,NA,NA,"-1.1839669423149",NA,NA,NA,NA,"64.4701267167258"
"RothC","2","43","2_43",NA,NA,NA,"-1.3925",NA,NA,NA,NA,"19.6926"
"APSIM","2","44","2_44","0.261107070707062","0.501199999999997","0.527701010101012","1.6","4.78363","0.114458206896554",NA,NA,"27.6"
"Daycent","2","44","2_44","-0.665129158249158","0.642766962962966","-0.532832740740744","0.5","18.1598335","-0.114191519999995","-24.1032956","0.283597255172397","26.4"
"Millennial","2","44","2_44",NA,NA,NA,"-2.4375097909188",NA,NA,NA,NA,"63.2165838681219"
"RothC","2","44","2_44",NA,NA,NA,"-1.613",NA,NA,NA,NA,"19.4721"
"APSIM","2","51","2_51","0.6059313131313","0.501199999999997","0.552363636363637","2.6","7.10977","0.196600275862071",NA,NA,"29.6"
"Daycent","2","51","2_51","-0.288826253647589","0.678607999999997","-0.505062617283947","4.6","24.7281428","-0.0557103903448209","-17.3000973","0.447759919540233","30.5"
"Millennial","2","51","2_51",NA,NA,NA,"3.260128755422",NA,NA,NA,NA,"68.9142224144627"
"RothC","2","51","2_51",NA,NA,NA,"-0.7624",NA,NA,NA,NA,"20.3227"
"APSIM","2","52","2_52","0.633478787878779","0.501666666666665","0.625559595959601","3","7.65778","0.210402482758622",NA,NA,"31.5"
"Daycent","2","52","2_52","0.305443735129071","0.685566864197526","-0.348553333333331","6.9","24.2274357","-0.0124059406896474","-13.0619217","0.5415861218391","32.8"
"Millennial","2","52","2_52",NA,NA,NA,"6.4232188181664",NA,NA,NA,NA,"72.0773124772071"
"RothC","2","52","2_52",NA,NA,NA,"-0.5671",NA,NA,NA,NA,"20.518"
"APSIM","2","53","2_53","0.632064646464634","0.501666666666665","0.687894949494954","3.3","8.82172","0.233077103448279",NA,NA,"34.6"
"Daycent","2","53","2_53","0.833951371492709","0.641012296296289","-0.276984641975311","6.8","23.5909808","-0.00373177793102619","-9.0004733","0.617194856705006","32.7"
"Millennial","2","53","2_53",NA,NA,NA,"9.83270452310231",NA,NA,NA,NA,"75.486798182143"
"RothC","2","53","2_53",NA,NA,NA,"-0.400500000000001",NA,NA,NA,NA,"20.6846"
"APSIM","2","61","2_61","0.572274747474737","0.502599999999994","0.563676767676768","1.3","6.28002","0.186139310344828",NA,NA,"38.1"
"APSIM","2","62","2_62","0.577761616161609","0.50042222222222","0.585737373737373","0.299999999999997","5.91133","0.185848",NA,NA,"48"
