Model,Climate_Scenario,Mgmt_Scenario,Scenario_Name,Maize_Diff_Mgha,Soybean_Diff_Mgha,Wheat_Diff_Mgha,SOC_Diff_Mgha,Total_N2O_kgha,N2O_Diff_kgha,Total_CH4_kgha,CH4_Diff_kgha,Total_SOC_Mgha,Cotton_Diff_Mgha,Sorghum_Diff_Mgha,N2O_Mgha,CH4_Mgha,CO2e_SOC,CO2e_N2O,CO2e_CH4,scenario_abbrev,GWP,,
APSIM,3,62,3_62,-1.092848485,0.530444444,0.473680808,1.1,33.50261,0.316212138,NA,NA,48.8,NA,NA,0.03350261,NA,-4.033333333,14.37261969,NA,BC38-CR,10.33928636,,
APSIM,3,63,3_63,-1.081422222,0.530755556,0.470852525,0.3,32.60428,0.331815172,NA,NA,58.6,NA,NA,0.03260428,NA,-1.1,13.98723612,NA,BC57-CR,12.88723612,,
APSIM,3,64,3_64,-1.076331313,0.5306,0.472662626,-0.5,31.8563,0.337513931,NA,NA,68,NA,NA,0.0318563,NA,1.833333333,13.6663527,NA,BC76-CR,15.49968603,,
APSIM,3,65,3_65,-1.068921212,0.531222222,0.469947475,-1.1,31.20643,0.341960414,NA,NA,77.7,NA,NA,0.03120643,NA,4.033333333,13.38755847,NA,BC96-CR,17.4208918,,
APSIM,4,1,4_1,-1.860670707,-0.206577778,0.003224242,3,30.15718,0.279996966,-9.59003784,NA,29,NA,NA,0.03015718,-0.009590038,-11,12.93743022,-0.345241362,CR,1.592188858,,
APSIM,4,2,4_2,-2.092250505,-0.4438,-0.021551515,2.4,27.27999,0.174116414,-9.616782803,NA,30.6,NA,NA,0.02727999,-0.009616783,-8.8,11.70311571,-0.346204181,NT-CR,2.556911529,,
APSIM,4,3,4_3,-0.614472727,0.338644444,0.084565657,1.4,13.43534,-0.079343172,-9.76249574,NA,27.6,NA,NA,0.01343534,-0.009762496,-5.133333333,5.76376086,-0.351449847,CC-CR,0.27897768,,
APSIM,4,41,4_41,-1.840589899,-0.206577778,-0.016573737,2.9,28.44233,0.246007172,-9.59244462,NA,28.9,NA,NA,0.02844233,-0.009592445,-10.63333333,12.20175957,-0.345328006,RF05-CR,1.22309823,,
APSIM,4,42,4_42,-1.726383838,-0.206577778,-0.031789899,2.7,25.24575,0.154060138,-9.59731352,NA,28.7,NA,NA,0.02524575,-0.009597314,-9.9,10.83042675,-0.345503287,RF15-CR,0.584923463,,
APSIM,4,43,4_43,-1.528121212,-0.206577778,0.009050505,2.4,22.5545,0.084679034,-9.60283394,NA,28.4,NA,NA,0.0225545,-0.009602834,-8.8,9.6758805,-0.345702022,RF25-CR,0.530178478,,
APSIM,4,44,4_44,-1.250270707,-0.206577778,0.102044444,2.2,20.68757,0.026209655,-9.60853788,NA,28.2,NA,NA,0.02068757,-0.009608538,-8.066666667,8.87496753,-0.345907364,RF35-CR,0.4623935,,
APSIM,4,51,4_51,-1.872436364,-0.206577778,-0.1736,3.4,32.02227,0.262299448,-9.56299524,NA,30.4,NA,NA,0.03202227,-0.009562995,-12.46666667,13.73755383,-0.344267829,RR50-CR,0.926619335,,
APSIM,4,52,4_52,-1.876339394,-0.206577778,-0.288937374,4,35.61098,0.223437103,-9.4856677,NA,32.6,NA,NA,0.03561098,-0.009485668,-14.66666667,15.27711042,-0.341484037,RR25-CR,0.268959716,,
APSIM,4,53,4_53,-1.871814141,-0.206577778,-0.303870707,4.9,42.52518,0.142138759,-9.264221,NA,36.3,NA,NA,0.04252518,-0.009264221,-17.96666667,18.24330222,-0.333511956,RR00-CR,-0.056876403,,
APSIM,4,61,4_61,-1.929963636,-0.207666667,0.102044444,2.1,28.27882,0.281684828,NA,NA,38.9,NA,NA,0.02827882,NA,-7.7,12.13161378,NA,BC19-CR,4.43161378,,
APSIM,4,62,4_62,-1.924872727,-0.208444444,0.128460606,1.1,27.32522,0.298517655,NA,NA,48.8,NA,NA,0.02732522,NA,-4.033333333,11.72251938,NA,BC38-CR,7.689186047,,
APSIM,4,63,4_63,-1.91949899,-0.210311111,0.142206061,0.3,26.49749,0.297178621,NA,NA,58.6,NA,NA,0.02649749,NA,-1.1,11.36742321,NA,BC57-CR,10.26742321,,
APSIM,4,64,4_64,-1.912428283,-0.211866667,0.153010101,-0.3,25.80583,0.290006759,NA,NA,68.1,NA,NA,0.02580583,NA,1.1,11.07070107,NA,BC76-CR,12.17070107,,
APSIM,4,65,4_65,-1.902755556,-0.212177778,0.167377778,-0.9,25.21027,0.283506483,NA,NA,77.8,NA,NA,0.02521027,NA,3.3,10.81520583,NA,BC96-CR,14.11520583,,
APSIM,5,1,5_1,-4.445890909,0.445666667,0.025680808,2.6,41.26735,1.048471448,-9.97238606,NA,28.6,NA,NA,0.04126735,-0.009972386,-9.533333333,17.70369315,-0.359005898,CR,7.811353919,,
APSIM,5,2,5_2,-4.163628283,-0.427,-0.079135354,2.4,36.56903,1.004811586,-10.04614611,NA,30.5,NA,NA,0.03656903,-0.010046146,-8.8,15.68811387,-0.36166126,NT-CR,6.52645261,,
APSIM,5,3,5_3,-5.400492929,0.458733333,0.074836364,1.1,16.46172,0.173255586,-10.03321634,NA,27.3,NA,NA,0.01646172,-0.010033216,-4.033333333,7.06207788,-0.361195788,CC-CR,2.667548758,,
APSIM,5,41,5_41,-4.429486869,0.445666667,0.031733333,2.6,39.05781,1.01094869,-9.97451146,NA,28.6,NA,NA,0.03905781,-0.009974511,-9.533333333,16.75580049,-0.359082413,RF05-CR,6.863384744,,
APSIM,5,42,5_42,-4.381123232,0.445511111,0.031224242,2.4,34.96556,0.933964276,-9.98069774,NA,28.4,NA,NA,0.03496556,-0.009980698,-8.8,15.00022524,-0.359305119,RF15-CR,5.840920121,,
APSIM,5,43,5_43,-4.315789899,0.445511111,0.030488889,2.2,31.46944,0.842600138,-9.9878018,NA,28.2,NA,NA,0.03146944,-0.009987802,-8.066666667,13.50038976,-0.359560865,RF25-CR,5.074162229,,
APSIM,5,44,5_44,-4.232864646,0.445511111,0.009785859,1.9,28.39139,0.734523034,-9.99628638,NA,27.9,NA,NA,0.02839139,-0.009996286,-6.966666667,12.17990631,-0.35986631,RF35-CR,4.853373334,,
APSIM,5,51,5_51,-4.448832323,0.445666667,-0.136775758,3.1,42.95658,1.042310069,-9.93746636,NA,30,NA,NA,0.04295658,-0.009937466,-11.36666667,18.42837282,-0.357748789,RR50-CR,6.703957364,,
APSIM,5,52,5_52,-4.45239596,0.445044444,-0.397486869,3.4,46.28798,1.015004828,-9.8295565,NA,32,NA,NA,0.04628798,-0.009829557,-12.46666667,19.85754342,-0.353864034,RR25-CR,7.037012719,,
