year,date,Obs_sd,treatment_scen,Model,mb_val
2003,12139,NA,Continuous Crop,Observed,NA
2003,12139,NA,Continuous Crop,Millennial,0.547192037
2003,12140,NA,Continuous Crop,Observed,NA
2003,12140,NA,Continuous Crop,Millennial,0.548102267
2003,12141,NA,Continuous Crop,Observed,NA
2003,12141,NA,Continuous Crop,Millennial,0.548963329
2003,12142,NA,Continuous Crop,Observed,NA
2003,12142,NA,Continuous Crop,Millennial,0.5498448
2003,12143,NA,Continuous Crop,Observed,NA
2003,12143,NA,Continuous Crop,Millennial,0.550807444
2003,12144,NA,Continuous Crop,Observed,NA
2003,12144,NA,Continuous Crop,Millennial,0.551867709
2003,12145,NA,Continuous Crop,Observed,NA
2003,12145,NA,Continuous Crop,Millennial,0.553019303
2003,12146,NA,Continuous Crop,Observed,NA
2003,12146,NA,Continuous Crop,Millennial,0.554245752
2003,12147,NA,Continuous Crop,Observed,NA
2003,12147,NA,Continuous Crop,Millennial,0.555523261
2003,12148,NA,Continuous Crop,Observed,NA
2003,12148,NA,Continuous Crop,Millennial,0.556839864
2003,12149,NA,Continuous Crop,Observed,NA
2003,12149,NA,Continuous Crop,Millennial,0.558172253
2003,12150,NA,Continuous Crop,Observed,NA
2003,12150,NA,Continuous Crop,Millennial,0.559468944
2003,12151,NA,Continuous Crop,Observed,NA
2003,12151,NA,Continuous Crop,Millennial,0.560743148
2003,12152,NA,Continuous Crop,Observed,NA
2003,12152,NA,Continuous Crop,Millennial,0.56204546
2003,12153,NA,Continuous Crop,Observed,NA
2003,12153,NA,Continuous Crop,Millennial,0.56339006
2003,12154,NA,Continuous Crop,Observed,NA
2003,12154,NA,Continuous Crop,Millennial,0.564782494
2003,12155,NA,Continuous Crop,Observed,NA
2003,12155,NA,Continuous Crop,Millennial,0.566231164
2003,12156,NA,Continuous Crop,Observed,NA
2003,12156,NA,Continuous Crop,Millennial,0.567738366
2003,12157,NA,Continuous Crop,Observed,NA
2003,12157,NA,Continuous Crop,Millennial,0.569314994
2003,12158,NA,Continuous Crop,Observed,NA
2003,12158,NA,Continuous Crop,Millennial,0.570965842
2003,12159,NA,Continuous Crop,Observed,NA
2003,12159,NA,Continuous Crop,Millennial,0.572703809
2003,12160,NA,Continuous Crop,Observed,NA
2003,12160,NA,Continuous Crop,Millennial,0.574496414
2003,12161,NA,Continuous Crop,Observed,NA
2003,12161,NA,Continuous Crop,Millennial,0.57637498
2003,12162,NA,Continuous Crop,Observed,NA
2003,12162,NA,Continuous Crop,Millennial,0.578374724
2003,12163,NA,Continuous Crop,Observed,NA
2003,12163,NA,Continuous Crop,Millennial,0.580398602
2003,12164,NA,Continuous Crop,Observed,NA
2003,12164,NA,Continuous Crop,Millennial,0.582409129
2003,12165,NA,Continuous Crop,Observed,NA
2003,12165,NA,Continuous Crop,Millennial,0.584418108
2003,12166,NA,Continuous Crop,Observed,NA
2003,12166,NA,Continuous Crop,Millennial,0.586427436
2003,12167,NA,Continuous Crop,Observed,NA
2003,12167,NA,Continuous Crop,Millennial,0.588441079
2003,12168,NA,Continuous Crop,Observed,NA
2003,12168,NA,Continuous Crop,Millennial,0.590454384
2003,12169,NA,Continuous Crop,Observed,NA
2003,12169,NA,Continuous Crop,Millennial,0.592430626
2003,12170,NA,Continuous Crop,Observed,NA
2003,12170,NA,Continuous Crop,Millennial,0.594522083
2003,12171,NA,Continuous Crop,Observed,NA
2003,12171,NA,Continuous Crop,Millennial,0.596795256
2003,12172,NA,Continuous Crop,Observed,NA
2003,12172,NA,Continuous Crop,Millennial,0.59911799
2003,12173,NA,Continuous Crop,Observed,NA
2003,12173,NA,Continuous Crop,Millennial,0.601505659
2003,12174,NA,Continuous Crop,Observed,NA
2003,12174,NA,Continuous Crop,Millennial,0.603959896
2003,12175,NA,Continuous Crop,Observed,NA
