"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"Daycent",3,43,"3_43",NA,NA,NA,0.5,10.319706,0.0446510634482779,0.2122574,0.466219747892683,9.6,-0.0919567777777743,1.23013353846156,0.010319706,0.0002122574,-1.83333333333333,4.427153874,0.0076412664,"RF25-CR",2.60146180706667
"Daycent",3,44,"3_44",NA,NA,NA,0.299999999999997,10.0662847,0.0366955655172433,-2.3689176,0.419372399999967,9.4,-0.119537444444441,1.12113572649574,0.0100662847,-0.0023689176,-1.09999999999999,4.3184361363,-0.0852810336,"RF35-CR",3.13315510270001
"Daycent",3,51,"3_51",NA,NA,NA,1.4,10.854679,0.0336050275862085,-8.4537628,0.177619591570836,9.2,-0.216583333333331,0.799411213675228,0.010854679,-0.0084537628,-5.13333333333333,4.656657291,-0.3043354608,"RR50-CR",-0.781011503133333
"Daycent",3,52,"3_52",NA,NA,NA,2.1,10.6831111,0.0381069227586222,-2.1503606,0.291781753256666,10.5,-0.18310833333333,1.01472430769232,0.0106831111,-0.0021503606,-7.7,4.5830546619,-0.0774129816,"RR25-CR",-3.1943583197
"Daycent",3,53,"3_53",NA,NA,NA,1.2,10.9139191,0.0613741282758638,6.2436419,0.57610059923368,10.3,-0.0524543333333298,1.51663863247865,0.0109139191,0.0062436419,-4.4,4.6820712939,0.2247711084,"RR00-CR",0.5068424023
"Daycent",3,54,"3_54",NA,NA,NA,3.6,8.5780356,0.0218825255172428,-112.1558897,-0.0562019340996058,12.1,-0.305567444444442,1.01280916239318,0.0085780356,-0.1121558897,-13.2,3.6799772724,-4.0376120292,"RR50-NT-CR",-13.5576347568
"Daycent",3,55,"3_55",NA,NA,NA,4.5,8.5996155,0.0265979406896565,-103.5360008,0.0203951026819982,13.2,-0.26593444444444,1.11821005128206,0.0085996155,-0.1035360008,-16.5,3.6892350495,-3.7272960288,"RR25-NT-CR",-16.5380609793
"Daycent",3,56,"3_56",NA,NA,NA,5.3,8.7468658,0.031848998620691,-95.0688813,0.125175763984669,14.3,-0.24824944444444,1.25501121367523,0.0087468658,-0.0950688813,-19.4333333333333,3.7524054282,-3.4224797268,"RR00-NT-CR",-19.1034076319333
"Daycent",3,7,"3_7",NA,NA,NA,-0.399999999999999,8.0433542,0.0304173089655192,-27.387198,0.456688128735637,8,0.0957661609195526,NA,0.0080433542,-0.027387198,1.46666666666666,3.4505989518,-0.985939128,"CN",3.93132649046666
"Daycent",3,8,"3_8",NA,NA,NA,5.2,7.989794,0.0249866386206909,-96.7165757,0.129190777011507,14.4,-0.191133999999996,1.07918010256412,0.007989794,-0.0967165757,-19.0666666666667,3.427621626,-3.4817967252,"CC-NT-CR",-19.1208417658667
