"Climate_Scenario","Mgmt_Scenario","Scenario_Name","mean_CottonYld_Mgha","mean_SorghumYld_Mgha","mean_SOC_Mgha","mean_N2O_Mgha","mean_CH4_Mgha","mean_CO2e_SOC","mean_CO2e_N2O","mean_CO2e_CH4","mean_GWP","sd_CottonYld_Mgha","sd_SorghumYld_Mgha","sd_SOC_Mgha","sd_N2O_Mgha","sd_CH4_Mgha","sd_CO2e_SOC","sd_CO2e_N2O","sd_CO2e_CH4","sd_GWP","scenario_abbrev"
4,52,"4_52",0.2008,-0.20898,-0.63929,0.00713,-0.03961,2.34406,3.06034,-1.42608,3.97832,0.00078,0.01622,1.9093,0.00366,0,7.00076,1.57094,0,6.87355,"RR25-CR"
4,53,"4_53",0.2424,-0.16517,-0.66385,0.00733,-0.03221,2.43411,3.14389,-1.1595,4.41849,0.01189,0.27822,1.57486,0.00341,0,5.77447,1.46263,0,5.77012,"RR00-CR"
4,54,"4_54",0.08452,-0.17529,-0.23797,0.00605,-0.1271,0.87254,2.59481,-4.57545,-1.1081,0.05808,0.22009,2.36529,0.00303,0,8.67271,1.30134,0,8.29023,"RR50-NT-CR"
4,55,"4_55",0.10137,-0.17669,-0.06155,0.0062,-0.12146,0.22568,2.65889,-4.37261,-1.48804,0.04514,0.16581,2.46144,0.0028,0,9.02529,1.20241,0,8.51247,"RR25-NT-CR"
4,56,"4_56",0.12228,-0.29961,0.17236,0.00641,-0.11522,-0.63199,2.74999,-4.14799,-2.03,0.02289,0.03768,2.62756,0.00258,0,9.63439,1.10732,0,9.04333,"RR00-NT-CR"
4,61,"4_61",0.27955,-0.30003,-0.9,0.00319,NA,3.3,1.36839,NA,4.66839,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
4,62,"4_62",0.29285,-0.22142,-1.6,0.00322,NA,5.86667,1.37936,NA,7.24603,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
4,63,"4_63",0.3197,-0.16717,-2.3,0.00324,NA,8.43333,1.38992,NA,9.82325,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
4,64,"4_64",0.3529,-0.12083,-3,0.00326,NA,11,1.39696,NA,12.39696,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
4,65,"4_65",0.34425,0.09348,-4,0.0032,NA,14.66667,1.37433,NA,16.04099,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
5,3,"5_3",-0.12061,0.18661,0.11867,0.00792,-0.02825,-0.43512,3.39711,-1.01707,1.94492,0.12691,0.80536,0.51067,0.00288,0,1.87245,1.23388,0,0.77183,"CC-CR"
5,7,"5_7",-0.09722,NA,-1.70401,0.0066,-0.06051,6.24802,2.83232,-2.17827,6.90208,0.17964,NA,2.27282,0.00199,0,8.33366,0.85574,0,8.45359,"CN"
5,8,"5_8",-0.11812,0.00547,-0.07786,0.00702,-0.11794,0.2855,3.01318,-4.24592,-0.94724,0.17611,0.62376,2.75361,0.00196,0,10.09657,0.84142,0,9.55578,"CC-NT-CR"
5,41,"5_41",0.00361,0.40677,-1.04023,0.00745,-0.03398,3.81418,3.19685,-1.22329,5.78774,0.25472,0.70432,1.85095,0.00364,0,6.78681,1.56106,0,6.69021,"RF05-CR"
5,42,"5_42",-0.01079,0.35934,-1.16124,0.00725,-0.03626,4.25786,3.11063,-1.30522,6.06327,0.22989,0.5956,1.8959,0.00358,0,6.95164,1.53413,0,6.92266,"RF15-CR"
5,43,"5_43",-0.01943,0.30004,-1.25537,0.00705,-0.03867,4.60301,3.02262,-1.39203,6.23359,0.1918,0.51057,1.95359,0.0035,0,7.16317,1.50227,0,7.22624,"RF25-CR"
5,44,"5_44",-0.05292,0.24624,-1.39441,0.00682,-0.0412,5.11284,2.92778,-1.48337,6.55724,0.18609,0.42308,1.97517,0.00342,0,7.2423,1.46728,0,7.32975,"RF35-CR"
5,51,"5_51",-0.01591,0.18703,-0.48233,0.00714,-0.04617,1.76854,3.06469,-1.6621,3.17112,0.00529,0.5688,1.00257,0.00404,0,3.6761,1.73121,0,3.73086,"RR50-CR"
5,52,"5_52",-0.02054,0.33115,-0.6474,0.00729,-0.0409,2.37381,3.12607,-1.47252,4.02735,0.10106,0.57419,1.62569,0.00387,0,5.96088,1.66132,0,5.68539,"RR25-CR"
5,53,"5_53",0.00318,0.43456,-0.97931,0.00755,-0.03287,3.59079,3.23687,-1.18344,5.64422,0.27546,0.75881,1.8289,0.00367,0,6.70598,1.57354,0,6.57316,"RR00-CR"
5,54,"5_54",0.0057,0.07184,-0.34075,0.00621,-0.12951,1.24941,2.66539,-4.66237,-0.74757,0.00368,0.42007,2.27111,0.00324,0,8.32742,1.38936,0,7.82901,"RR50-NT-CR"
5,55,"5_55",-0.01104,0.04949,-0.25913,0.00636,-0.12369,0.95014,2.72974,-4.45292,-0.77304,0.07384,0.50073,2.62123,0.00304,0,9.61118,1.30295,0,9.0111,"RR25-NT-CR"
5,56,"5_56",-0.03259,0.02179,-0.17968,0.00661,-0.11704,0.65882,2.83508,-4.21327,-0.71937,0.15303,0.5459,2.87821,0.00282,0,10.55344,1.20857,0,9.88125,"RR00-NT-CR"
5,61,"5_61",-0.18185,-0.09492,-1.3,0.00308,NA,4.76667,1.32004,NA,6.08671,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
5,62,"5_62",-0.14665,-0.08791,-1.9,0.0031,NA,6.96667,1.33149,NA,8.29815,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
5,63,"5_63",-0.1796,-0.17806,-2.5,0.00309,NA,9.16667,1.32747,NA,10.49414,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
5,64,"5_64",-0.1007,-0.23443,-3.2,0.00308,NA,11.73333,1.32087,NA,13.05421,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
5,65,"5_65",-0.11465,0.12166,-4.1,0.00306,NA,15.03333,1.31104,NA,16.34437,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
