"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
2042,NA,0.36324,8.3,"Daycent","3_3",3,3,""
2042,NA,NA,8.3,"Daycent","3_3",3,3,""
2043,NA,NA,8.2,"Daycent","3_3",3,3,""
2043,3.42747777777778,NA,8.2,"Daycent","3_3",3,3,""
2044,NA,0.681548888888889,8.2,"Daycent","3_3",3,3,""
2044,NA,NA,8.2,"Daycent","3_3",3,3,""
2045,NA,NA,8.4,"Daycent","3_3",3,3,""
2045,1.84032,NA,8.4,"Daycent","3_3",3,3,""
2046,NA,NA,8.4,"Daycent","3_3",3,3,""
2046,NA,0.628582222222222,8.4,"Daycent","3_3",3,3,""
2047,NA,NA,8.5,"Daycent","3_3",3,3,""
2047,2.51964444444444,NA,8.5,"Daycent","3_3",3,3,""
2048,NA,NA,8.5,"Daycent","3_3",3,3,""
2048,NA,1.18642666666667,8.5,"Daycent","3_3",3,3,""
2049,NA,NA,8.5,"Daycent","3_3",3,3,""
2049,1.99279555555556,NA,8.5,"Daycent","3_3",3,3,""
2050,NA,0.505991111111111,NA,"Daycent","3_3",3,3,""
2050,NA,NA,NA,"Daycent","3_3",3,3,""
