"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"Daycent",2,43,"2_43",NA,NA,NA,"-0.9","8.2415263","0.0177082248275876","-53.2743019","-0.0341533080459706","6.2","-0.128414666666656","-0.0812389743589599"
"Daycent",2,44,"2_44",NA,NA,NA,"-1","8.0736811","0.0145600220689668","-54.3372116","-0.0519124245210654","6.1","-0.135224222222212","-0.104527111111098"
"Daycent",2,51,"2_51",NA,NA,NA,"-0.5","8.8161021","0.0142334593103462","-60.7538734","-0.087859994636011","5.8","-0.204560777777765","-0.164438837606825"
"Daycent",2,52,"2_52",NA,NA,NA,"-0.200000000000001","8.8324959","0.0170563351724151","-57.0037245","-0.0832984107279651","6.5","-0.169211444444431","-0.142050188034174"
"Daycent",2,53,"2_53",NA,NA,NA,"-0.700000000000001","8.6306369","0.0222186468965533","-50.6835492","0.00309061532567423","6.4","-0.100358555555543","-0.0554394529914353"
"Daycent",2,54,"2_54",NA,NA,NA,"1.1","6.8308032","0.00402922482758739","-140.8109833","-0.0201118865900138","8.3","-0.145393222222212","-0.192249846153838"
"Daycent",2,55,"2_55",NA,NA,NA,"1.5","6.6769365","0.0121317089655184","-136.7087767","-0.0440154865900144","8.8","-0.120507777777767","-0.205502017094007"
"Daycent",2,56,"2_56",NA,NA,NA,"2","6.608779","0.0130641406896562","-132.2429752","-0.065354878160893","9.4","-0.0989888888888784","-0.210708649572639"
"Daycent",2,7,"2_7",NA,NA,NA,"-0.899999999999999","8.4073669","0.0213392068965536","-58.2190212","0.0802902812260882","6.1","-0.0421180076628388",NA
"Daycent",2,8,"2_8",NA,NA,NA,"3.6","8.7392402","0.0175265544827583","-112.7230265","-0.0948424436781554","11.5","-0.0307529999999874","-0.69030502564102"
"Daycent",3,3,"3_3",NA,NA,NA,"1.1","10.8909242","-0.00305703310344679","-26.9516878","0.0309039356321433","8.5","-0.351156000000003","0.58162933333333"
"Daycent",3,41,"3_41",NA,NA,NA,"-0.700000000000001","8.6196305","0.0225152013793126","-52.1876465","0.150541281226054","6.4","-0.277285444444442","0.647451008547014"
"Daycent",3,42,"3_42",NA,NA,NA,"-0.800000000000001","8.462614","0.0189595806896573","-53.3053096","0.121582419157089","6.3","-0.263797666666664","0.589127658119664"
"Daycent",3,43,"3_43",NA,NA,NA,"-0.9","8.2977498","0.0150786013793125","-54.4326087","0.0917231647509593","6.2","-0.254128444444442","0.53175056410257"
"Daycent",3,44,"3_44",NA,NA,NA,"-1","8.1146346","0.0106620482758641","-55.5693093","0.0617697318007679","6.1","-0.240946111111108","0.474949675213681"
"Daycent",3,51,"3_51",NA,NA,NA,"-0.4","8.8193798","0.00427181793103604","-61.5049064","-0.0419574636015292","5.9","-0.264138444444442","0.317462495726496"
"Daycent",3,52,"3_52",NA,NA,NA,"-0.0999999999999996","8.8327774","0.0144672317241397","-57.8814889","0.00739217701149752","6.6","-0.279085666666665","0.42481353846154"
"Daycent",3,53,"3_53",NA,NA,NA,"-0.600000000000001","8.6967271","0.0241990262068987","-51.6302925","0.162758801532568","6.5","-0.286353444444442","0.678667418803424"
